osmid,y,x,highway,ref,street_count,railway,geometry
123198430,34.0477046,-118.2072176,,,3,,POINT (-118.2072176 34.0477046)
123198433,34.0494498,-118.2060938,traffic_signals,,3,,POINT (-118.2060938 34.0494498)
123198438,34.049911,-118.2058118,traffic_signals,,3,,POINT (-118.2058118 34.049911)
123198441,34.0520743,-118.2044474,traffic_signals,,3,,POINT (-118.2044474 34.0520743)
123198444,34.0525469,-118.2041417,,,3,,POINT (-118.2041417 34.0525469)
123199065,34.0203614,-118.2289963,,,1,,POINT (-118.2289963 34.0203614)
123202718,34.0757925,-118.2868261,,,3,,POINT (-118.2868261 34.0757925)
123212753,34.0533236,-118.2829726,,,4,,POINT (-118.2829726 34.0533236)
123212756,34.0523629,-118.2835885,,,4,,POINT (-118.2835885 34.0523629)
123212759,34.0517144,-118.2840098,,,4,,POINT (-118.2840098 34.0517144)
123212786,34.0639491,-118.2766024,,,3,,POINT (-118.2766024 34.0639491)
123212814,34.0627309,-118.2768296,,,3,,POINT (-118.2768296 34.0627309)
123212831,34.067188,-118.2741001,,,3,,POINT (-118.2741001 34.067188)
123212834,34.065489,-118.2756124,,,3,,POINT (-118.2756124 34.065489)
123212837,34.064745,-118.27609,,,3,,POINT (-118.27609 34.064745)
123219214,34.0423826,-118.2226572,,,4,,POINT (-118.2226572 34.0423826)
123221309,34.0217873,-118.1985431,stop,,3,,POINT (-118.1985431 34.0217873)
123221317,34.0210097,-118.1990379,,,3,,POINT (-118.1990379 34.0210097)
123221320,34.0202543,-118.1995109,,,3,,POINT (-118.1995109 34.0202543)
