u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,Inverse SP,Cost of return,Edge Betweenness,access,ref,tunnel,bridge,width,junction,Groups
42436093,42436097,0,1202586284,residential,1,25 mph,Greenwich Street,True,False,80.14594143092661,"LINESTRING (-74.00896 40.7267539, -74.008842 40.7274691)",707.0288122904544,10.49614444080186,0.0024643325387925,,,,,,,C
42436093,42436359,0,5671327,residential,,25 mph,Vandam Street,True,False,129.95995430844485,"LINESTRING (-74.00896 40.7267539, -74.0088702 40.7267454, -74.0075643 40.7266142, -74.0074309 40.7266017)",915.9048348352304,13.811118157218557,1.1739668622025873e-07,,,,,,,C
42436097,42436100,0,1202586284,residential,1,25 mph,Greenwich Street,True,False,81.67106794696416,"LINESTRING (-74.008842 40.7274691, -74.0087206 40.7281978)",640.8568296913421,8.384234132738115,0.0028884280677632,,,,,,,C
42436100,42436369,0,46350694,residential,,25 mph,King Street,True,False,129.81599426656868,"LINESTRING (-74.0087206 40.7281978, -74.0086182 40.7281879, -74.0073402 40.7280634, -74.0071926 40.728049)",592.7119033717375,8.316393359231215,0.0003993835265213,,,,,,,C
42436100,42436109,0,"[1314051814, 1314051815]",residential,"['1', '2']",25 mph,Greenwich Street,True,False,80.9683724680739,"LINESTRING (-74.0087206 40.7281978, -74.0086642 40.7285287, -74.0086158 40.7288015, -74.0086071 40.7288475, -74.0085913 40.7289193)",706.2063812533072,10.275681885876867,0.0024890445412419,,,,,,,C
42436109,42448568,0,22927287,tertiary,2,25 mph,West Houston Street,True,False,63.93146368092575,"LINESTRING (-74.0085913 40.7289193, -74.008698 40.7289304, -74.0087676 40.7289373, -74.0091754 40.7289775, -74.0092176 40.7289819, -74.0092502 40.7289835, -74.0093445 40.7289826)",723.2432900404552,10.106434453938313,0.0023329069485689,,,,,,,B
42436109,42436115,0,1202586283,residential,1,25 mph,Greenwich Street,True,False,81.63675790796023,"LINESTRING (-74.0085913 40.7289193, -74.0085718 40.7289957, -74.0084309 40.7295141, -74.0084169 40.7295673, -74.0083973 40.7296386)",624.9621021001874,11.684238221497036,0.002679931553036,,,,,,,C
42436115,42436374,0,480112484,secondary,1,25 mph,Clarkson Street,True,False,122.95914109323904,"LINESTRING (-74.0083973 40.7296386, -74.008293 40.729636, -74.0070899 40.7295207, -74.0069526 40.7294927)",424.0031660817031,8.826512165434226,0.0025659393707161,,,,,,,B
42436115,42436119,0,1202586282,residential,1,25 mph,Greenwich Street,True,False,81.76761013987102,"LINESTRING (-74.0083973 40.7296386, -74.0083777 40.7297014, -74.0082307 40.7302407, -74.0082163 40.7302931, -74.0081983 40.7303583)",226.54003553586887,5.280134788436738,0.0020481025877986,,,,,,,C
42436119,42436122,0,1202586282,residential,1,25 mph,Greenwich Street,True,False,81.7987739611994,"LINESTRING (-74.0081983 40.7303583, -74.0081795 40.7304264, -74.0080329 40.7309614, -74.0080198 40.731008, -74.0080005 40.7310785)",559.1859972753573,12.255433515202991,0.0022430397852673,,,,,,,C
42436119,42456986,0,"[1314046633, 1314046630, 1314046631]",residential,,25 mph,Leroy Street,True,False,75.74463332396078,"LINESTRING (-74.0081983 40.7303583, -74.0083084 40.7303688, -74.0089563 40.7304289, -74.0089724 40.7304304, -74.0090905 40.7304414)",232.5630123517792,5.300687804218832,0.0002139554606364,,,,,,,C
42436122,42436381,0,468414634,residential,1,25 mph,Morton Street,True,False,108.87927225715993,"LINESTRING (-74.0080005 40.7310785, -74.0079009 40.7310683, -74.0068776 40.7309699, -74.006721 40.7309445)",427.9149756606032,8.772455729038084,0.0008024063503154,,,,,,,C
42436122,42436126,0,1202586282,residential,1,25 mph,Greenwich Street,True,False,80.73121688799822,"LINESTRING (-74.0080005 40.7310785, -74.0079814 40.7311442, -74.0078363 40.7316786, -74.007824 40.7317213, -74.0078047 40.7317892)",244.5847667688009,5.194770054886698,0.0024079821294068,,,,,,,C
42436126,42436129,0,1202586282,residential,1,25 mph,Greenwich Street,True,False,123.46662214629326,"LINESTRING (-74.0078047 40.7317892, -74.0077843 40.7318597, -74.0075517 40.7327253, -74.0075372 40.7327794, -74.0075136 40.7328774)",427.9897980413117,8.779921201029149,0.0025165740641605,,,,,,,C
42436126,42452006,0,"[1314046616, 1188352331, 1314046615]",residential,1,25 mph,Barrow Street,True,False,84.12015658884903,"LINESTRING (-74.0078047 40.7317892, -74.0079215 40.7317973, -74.008676 40.7318666, -74.0086965 40.7318696, -74.008796 40.7318782)",241.1958270679501,5.234920046942829,0.0009307796266973,,,,,,,C
42436129,42436894,0,439842799,residential,2,25 mph,Christopher Street,False,False,98.86997967497578,"LINESTRING (-74.0075136 40.7328774, -74.0076303 40.732838, -74.0077049 40.7328138, -74.0077733 40.732797, -74.007839 40.7327829, -74.0079011 40.7327718, -74.0079694 40.7327606, -74.0084426 40.7326882, -74.0084893 40.7326819, -74.0085369 40.7326758, -74.0086473 40.7326608)",98.86997967497578,1.7144428747128744,0.0020300821964638,,,,,,,C
42436129,42436134,0,"[1202586281, 1202586282]",residential,1,25 mph,Greenwich Street,True,False,79.16854837037434,"LINESTRING (-74.0075136 40.7328774, -74.0074944 40.732958, -74.0074431 40.7331574, -74.0073908 40.7333688, -74.0073649 40.7334731, -74.0073575 40.7335033, -74.007349 40.7335373, -74.0073392 40.733577)",458.379699341074,8.761884827183856,0.0035999693829442,,,,,,,C
42436134,42436396,0,5673102,residential,1,25 mph,West 10th Street,True,False,91.2492373273744,"LINESTRING (-74.0073392 40.733577, -74.0072309 40.7335933, -74.0068152 40.7336573, -74.0064276 40.7337167, -74.0062788 40.7337434)",464.6246287556001,8.811052944836375,0.0018840407188058,,,,,,,C
42436134,42436135,0,812936280,residential,1,25 mph,Greenwich Street,True,False,82.62044149719733,"LINESTRING (-74.0073392 40.733577, -74.0073203 40.733658, -74.0071843 40.7342089, -74.007174 40.7342511, -74.0071547 40.7343066)",301.5164844123403,5.294997785683071,0.0025442796821085,,,,,,,C
42436135,42452610,0,46431822,residential,1,25 mph,Charles Street,True,False,116.21450097753008,"LINESTRING (-74.0071547 40.7343066, -74.0072774 40.7342886, -74.0083447 40.7341211, -74.0083953 40.7341151, -74.008507 40.7341015)",267.9224249320075,5.331957132888569,0.0005848702907493,,,,,,,C
42436135,42436139,0,812936280,residential,1,25 mph,Greenwich Street,True,False,79.973912596996,"LINESTRING (-74.0071547 40.7343066, -74.007136 40.7343586, -74.0071028 40.7344879, -74.0069959 40.7349126, -74.0069847 40.734957, -74.0069712 40.7350121)",455.0675901127104,8.856163158656614,0.0029342127753891,,,,,,,C
42436139,42436142,0,812936280,residential,1,25 mph,Greenwich Street,True,False,81.90848167215947,"LINESTRING (-74.0069712 40.7350121, -74.0069541 40.7350804, -74.0068162 40.7356126, -74.0068033 40.7356675, -74.0067852 40.7357351)",343.63949666372247,5.247733001321573,0.0026829251685346,,,,,,,C
