osmid,y,x,street_count,highway,ref,junction,geometry
122255942,37.717051,-97.355169,4,,,,POINT (-97.355169 37.717051)
122255952,37.720677,-97.355173,4,,,,POINT (-97.355173 37.720677)
122255956,37.721341,-97.355179,1,,,,POINT (-97.355179 37.721341)
122258592,37.669879,-97.330267,4,,,,POINT (-97.330267 37.669879)
122258601,37.6699186,-97.3289166,3,,,,POINT (-97.3289166 37.6699186)
122258613,37.669928,-97.327636,3,,,,POINT (-97.327636 37.669928)
122258630,37.669853,-97.325046,4,,,,POINT (-97.325046 37.669853)
122258634,37.669863,-97.323731,4,,,,POINT (-97.323731 37.669863)
122258639,37.669887,-97.321138,4,,,,POINT (-97.321138 37.669887)
122258642,37.669897,-97.319819,4,,,,POINT (-97.319819 37.669897)
122258647,37.6699,-97.318514,4,,,,POINT (-97.318514 37.6699)
122258651,37.669902,-97.317199,4,,,,POINT (-97.317199 37.669902)
122258655,37.669909,-97.31606,3,,,,POINT (-97.31606 37.669909)
122258687,37.670977,-97.287338,3,,,,POINT (-97.287338 37.670977)
122258695,37.670989,-97.283703,4,,,,POINT (-97.283703 37.670989)
122258833,37.669614,-97.30919,4,,,,POINT (-97.30919 37.669614)
122258851,37.670888,-97.3069887,4,,,,POINT (-97.3069887 37.670888)
122258936,37.670044,-97.287415,4,,,,POINT (-97.287415 37.670044)
122258946,37.668669,-97.315476,4,,,,POINT (-97.315476 37.668669)
122258971,37.670042,-97.296551,3,,,,POINT (-97.296551 37.670042)
122258974,37.670048,-97.295406,4,,,,POINT (-97.295406 37.670048)
122258977,37.6700551,-97.2942647,4,,,,POINT (-97.2942647 37.6700551)
122260437,37.682225,-97.314341,3,,,,POINT (-97.314341 37.682225)
122260608,37.697578,-97.328849,3,,,,POINT (-97.328849 37.697578)
122260611,37.700785,-97.328846,4,,,,POINT (-97.328846 37.700785)
122260616,37.702592,-97.328837,4,,,,POINT (-97.328837 37.702592)
122260638,37.7078727,-97.3286351,1,,,,POINT (-97.3286351 37.7078727)
122260645,37.7080626,-97.3285445,4,,,,POINT (-97.3285445 37.7080626)
122260650,37.7116708,-97.3285439,3,,,,POINT (-97.3285439 37.7116708)
122260941,37.683922,-97.366696,5,,,,POINT (-97.366696 37.683922)
122260946,37.68218,-97.3666888,4,,,,POINT (-97.3666888 37.68218)
122260951,37.680457,-97.366659,3,,,,POINT (-97.366659 37.680457)
122261639,37.667072,-97.33026,3,,,,POINT (-97.33026 37.667072)
122261837,37.653727,-97.310893,3,,,,POINT (-97.310893 37.653727)
122261839,37.653733,-97.309226,3,,,,POINT (-97.309226 37.653733)
122262096,37.7030179,-97.3570585,3,,,,POINT (-97.3570585 37.7030179)
122262104,37.7048074,-97.3584007,4,,,,POINT (-97.3584007 37.7048074)
122262128,37.7065979,-97.3581576,3,,,,POINT (-97.3581576 37.7065979)
122262135,37.7076635,-97.3572885,4,,,,POINT (-97.3572885 37.7076635)
122262282,37.7079837,-97.348231,4,traffic_signals,,,POINT (-97.348231 37.7079837)
122262290,37.709779,-97.348045,3,,,,POINT (-97.348045 37.709779)
122262292,37.711751,-97.34806,3,,,,POINT (-97.34806 37.711751)
122262294,37.713743,-97.348067,3,,,,POINT (-97.348067 37.713743)
122262296,37.71527,-97.348079,4,,,,POINT (-97.348079 37.71527)
122262299,37.71708,-97.348086,4,,,,POINT (-97.348086 37.71708)
122262301,37.719726,-97.348077,1,,,,POINT (-97.348077 37.719726)
122263193,37.650041,-97.293069,3,,,,POINT (-97.293069 37.650041)
122263196,37.649242,-97.29306,3,,,,POINT (-97.29306 37.649242)
122263294,37.681442,-97.291634,3,,,,POINT (-97.291634 37.681442)
122263298,37.680762,-97.291637,4,,,,POINT (-97.291637 37.680762)
122263313,37.663444,-97.291943,3,,,,POINT (-97.291943 37.663444)
122263320,37.661441,-97.291947,4,,,,POINT (-97.291947 37.661441)
122263323,37.660534,-97.291942,4,,,,POINT (-97.291942 37.660534)
122263327,37.659627,-97.291945,4,,,,POINT (-97.291945 37.659627)
122263330,37.658719,-97.291943,4,,,,POINT (-97.291943 37.658719)
122263345,37.678174,-97.292514,3,,,roundabout,POINT (-97.292514 37.678174)
122263358,37.676529,-97.292351,4,,,,POINT (-97.292351 37.676529)
122263378,37.674627,-97.291992,4,,,,POINT (-97.291992 37.674627)
122263385,37.673686,-97.291977,3,,,,POINT (-97.291977 37.673686)
122263391,37.668249,-97.2919587,3,,,,POINT (-97.2919587 37.668249)
122263608,37.649139,-97.366335,4,,,,POINT (-97.366335 37.649139)
122263614,37.649148,-97.367381,4,,,,POINT (-97.367381 37.649148)
122263620,37.649144,-97.368622,3,,,,POINT (-97.368622 37.649144)
122263640,37.649586,-97.357215,3,,,,POINT (-97.357215 37.649586)
122263643,37.6495846,-97.3583015,3,,,,POINT (-97.3583015 37.6495846)
122263877,37.674574,-97.311578,1,,,,POINT (-97.311578 37.674574)
122263879,37.673884,-97.310692,4,,,,POINT (-97.310692 37.673884)
122263882,37.673612,-97.310342,4,,,,POINT (-97.310342 37.673612)
122263888,37.673093,-97.309677,3,,,,POINT (-97.309677 37.673093)
122263891,37.672989,-97.308571,1,,,,POINT (-97.308571 37.672989)
122263892,37.6723414,-97.3082961,3,,,,POINT (-97.3082961 37.6723414)
122263896,37.6717972,-97.3080327,4,traffic_signals,,,POINT (-97.3080327 37.6717972)
122263920,37.66695,-97.302515,4,,,,POINT (-97.302515 37.66695)
122263937,37.6614928,-97.298823,4,traffic_signals,,,POINT (-97.298823 37.6614928)
