osmid,y,x,street_count,highway,ref,railway,geometry
1586516175,40.7802145,-111.8969144,4,,,,POINT (-111.8969144 40.7802145)
1587201908,40.762751,-111.8853687,4,,,,POINT (-111.8853687 40.762751)
1587201915,40.7627508,-111.888294,4,,,,POINT (-111.888294 40.7627508)
1587201934,40.762771,-111.882576,4,,,,POINT (-111.882576 40.762771)
1587201945,40.7627689,-111.8824438,4,,,,POINT (-111.8824438 40.7627689)
1587201954,40.7628374,-111.8817415,3,,,,POINT (-111.8817415 40.7628374)
1589941686,40.7857367,-111.913858,1,turning_circle,,,POINT (-111.913858 40.7857367)
1590005919,40.7486677,-111.9085291,3,motorway_junction,305C-A,,POINT (-111.9085291 40.7486677)
1595614626,40.7497632,-111.8996156,5,,,,POINT (-111.8996156 40.7497632)
1595614627,40.7497629,-111.8997332,4,,,,POINT (-111.8997332 40.7497629)
1595614628,40.7519403,-111.8996087,4,,,,POINT (-111.8996087 40.7519403)
1595614629,40.7519401,-111.899736,4,,,,POINT (-111.899736 40.7519401)
1595614632,40.7541208,-111.8997393,4,,,,POINT (-111.8997393 40.7541208)
1595614633,40.756274,-111.899738,4,,,,POINT (-111.899738 40.756274)
1595614634,40.7584606,-111.8997453,4,,,,POINT (-111.8997453 40.7584606)
1595614635,40.7606402,-111.8997438,4,,,,POINT (-111.8997438 40.7606402)
1595614636,40.7627519,-111.899777,4,,,,POINT (-111.899777 40.7627519)
1595614637,40.762886,-111.8997764,4,,,,POINT (-111.8997764 40.762886)
1595614638,40.7638234,-111.8997607,3,,,,POINT (-111.8997607 40.7638234)
1595614639,40.7649896,-111.8997478,4,,,,POINT (-111.8997478 40.7649896)
1595614640,40.7671756,-111.8997475,4,,,,POINT (-111.8997475 40.7671756)
1595614642,40.7692471,-111.8997408,4,,,,POINT (-111.8997408 40.7692471)
1595614645,40.7694276,-111.8997403,4,,,,POINT (-111.8997403 40.7694276)
1595614647,40.7715156,-111.8997463,5,,,,POINT (-111.8997463 40.7715156)
1595614649,40.7758574,-111.8997745,4,,,,POINT (-111.8997745 40.7758574)
1595614651,40.7780489,-111.8997801,4,,,,POINT (-111.8997801 40.7780489)
1595614654,40.7791009,-111.899784,3,,,,POINT (-111.899784 40.7791009)
1595614655,40.7802173,-111.8997844,4,,,,POINT (-111.8997844 40.7802173)
1595614656,40.7823938,-111.8997951,4,,,,POINT (-111.8997951 40.7823938)
1595614658,40.7845666,-111.8998025,4,,,,POINT (-111.8998025 40.7845666)
1595614660,40.7856676,-111.8998036,3,,,,POINT (-111.8998036 40.7856676)
1595614663,40.7867086,-111.899805,4,,,,POINT (-111.899805 40.7867086)
1595614686,40.7900529,-111.901132,4,,,,POINT (-111.901132 40.7900529)
1595623329,40.7584875,-111.8782384,4,,,,POINT (-111.8782384 40.7584875)
1595678072,40.7519398,-111.9168286,4,traffic_signals,,,POINT (-111.9168286 40.7519398)
1595678076,40.7519351,-111.91538,3,,,,POINT (-111.91538 40.7519351)
1595678097,40.7519389,-111.90261,4,,,,POINT (-111.90261 40.7519389)
1595678103,40.751943,-111.9182311,3,,,,POINT (-111.9182311 40.751943)
1595678118,40.7518932,-111.9140784,4,,,,POINT (-111.9140784 40.7518932)
1609994579,40.7331401,-111.9447651,4,,,,POINT (-111.9447651 40.7331401)
1609994588,40.7331455,-111.9328798,2,,,,POINT (-111.9328798 40.7331455)
1609994598,40.7334052,-111.9268631,3,,,,POINT (-111.9268631 40.7334052)
1609994610,40.7335169,-111.911175,4,traffic_signals,,,POINT (-111.911175 40.7335169)
1615750521,40.7415513,-111.9144809,1,turning_circle,,,POINT (-111.9144809 40.7415513)
1618528871,40.7683183,-111.9082631,3,,,,POINT (-111.9082631 40.7683183)
1621245029,40.7724575,-111.9025341,3,,,,POINT (-111.9025341 40.7724575)
1651793678,40.768622,-111.8939963,2,,,,POINT (-111.8939963 40.768622)
1651982351,40.7714198,-111.919697,4,,,,POINT (-111.919697 40.7714198)
1651982372,40.7714324,-111.9391945,4,,,,POINT (-111.9391945 40.7714324)
1651982416,40.7714241,-111.9469722,3,,,,POINT (-111.9469722 40.7714241)
1651982419,40.7714234,-111.9414025,3,,,,POINT (-111.9414025 40.7714234)
1651982421,40.7714523,-111.9438991,3,,,,POINT (-111.9438991 40.7714523)
1651982457,40.7714066,-111.933074,4,,,,POINT (-111.933074 40.7714066)
1652425169,40.7714294,-111.908231,4,traffic_signals,,,POINT (-111.908231 40.7714294)
1652425170,40.7714465,-111.916841,4,,,,POINT (-111.916841 40.7714465)
1652425171,40.7714365,-111.9184146,3,,,,POINT (-111.9184146 40.7714365)
1652425172,40.7714167,-111.914087,4,,,,POINT (-111.914087 40.7714167)
1663354105,40.7750874,-111.890341,1,,,,POINT (-111.890341 40.7750874)
1663354107,40.7750913,-111.889642,3,,,,POINT (-111.889642 40.7750913)
1663354175,40.7756658,-111.8882197,3,,,,POINT (-111.8882197 40.7756658)
1663354205,40.7759513,-111.8889379,3,,,,POINT (-111.8889379 40.7759513)
1663354206,40.7759429,-111.887384,3,,,,POINT (-111.887384 40.7759429)
1677626277,40.7728623,-111.8498483,4,,,,POINT (-111.8498483 40.7728623)
1687552176,40.7691643,-111.9153733,1,,,,POINT (-111.9153733 40.7691643)
1695337019,40.7679853,-111.8883154,3,,,,POINT (-111.8883154 40.7679853)
1705331601,40.7794698,-111.9310011,3,,,,POINT (-111.9310011 40.7794698)
1744470082,40.7920988,-111.8779439,1,,,,POINT (-111.8779439 40.7920988)
1808763494,40.7671818,-111.8568411,4,,,,POINT (-111.8568411 40.7671818)
1808763525,40.7693569,-111.8568613,3,,,,POINT (-111.8568613 40.7693569)
1812118637,40.7271921,-111.8825448,3,,,,POINT (-111.8825448 40.7271921)
1812118638,40.7326024,-111.8568729,1,turning_circle,,,POINT (-111.8568729 40.7326024)
1812816224,40.7807894,-111.9112823,3,,,,POINT (-111.9112823 40.7807894)
1812816233,40.7812756,-111.9117874,1,,,,POINT (-111.9117874 40.7812756)
1830438585,40.7478722,-111.8996706,3,,,,POINT (-111.8996706 40.7478722)
1832066762,40.7650125,-111.8667318,3,,,,POINT (-111.8667318 40.7650125)
1832066763,40.7671921,-111.8667837,3,,,,POINT (-111.8667837 40.7671921)
1836597130,40.7847305,-111.9127139,3,,,,POINT (-111.9127139 40.7847305)
1836597132,40.7856367,-111.9132719,1,turning_circle,,,POINT (-111.9132719 40.7856367)
1836597152,40.7971074,-111.9171922,3,,,,POINT (-111.9171922 40.7971074)
1878833370,40.7822842,-111.9102103,3,,,,POINT (-111.9102103 40.7822842)
1878833376,40.7937233,-111.9174981,3,,,,POINT (-111.9174981 40.7937233)
1878845349,40.7561383,-111.9081567,3,,,,POINT (-111.9081567 40.7561383)
1878845350,40.7564265,-111.9081526,3,,,,POINT (-111.9081526 40.7564265)
1935528518,40.7791372,-111.8976775,1,,,,POINT (-111.8976775 40.7791372)
1935528520,40.7802152,-111.8976701,3,,,,POINT (-111.8976701 40.7802152)
1935747259,40.7583607,-111.9081623,3,,,,POINT (-111.9081623 40.7583607)
