osmid,y,x,street_count,highway,ref,junction,railway,geometry
251548473,43.6200781,1.4573086,3,,,,,POINT (1.4573086 43.6200781)
251548475,43.6206337,1.4555197,3,,,,,POINT (1.4555197 43.6206337)
251548476,43.6204052,1.4562358,3,,,,,POINT (1.4562358 43.6204052)
251548477,43.6212686,1.4567702,3,,,,,POINT (1.4567702 43.6212686)
251548478,43.6209727,1.4577404,3,,,,,POINT (1.4577404 43.6209727)
251548479,43.6216235,1.4534807,3,,,,,POINT (1.4534807 43.6216235)
251548480,43.6211147,1.4551324,1,,,,,POINT (1.4551324 43.6211147)
251548487,43.6217193,1.4512611,1,,,,,POINT (1.4512611 43.6217193)
251548490,43.6232592,1.4526929,1,,,,,POINT (1.4526929 43.6232592)
251548491,43.6240141,1.4545123,4,,,,,POINT (1.4545123 43.6240141)
251548494,43.6242532,1.4557856,4,,,,,POINT (1.4557856 43.6242532)
251548495,43.6244866,1.4567942,4,,,,,POINT (1.4567942 43.6244866)
251548497,43.6247085,1.4577142,3,,,,,POINT (1.4577142 43.6247085)
251548502,43.6254618,1.458813,3,,,,,POINT (1.458813 43.6254618)
251548503,43.6247648,1.4555502,1,,,,,POINT (1.4555502 43.6247648)
251548504,43.6238268,1.455975,3,,,,,POINT (1.455975 43.6238268)
251548505,43.6233626,1.45608,4,,,,,POINT (1.45608 43.6233626)
251548506,43.6226599,1.4560162,3,,,,,POINT (1.4560162 43.6226599)
251548507,43.6251983,1.4564859,1,,,,,POINT (1.4564859 43.6251983)
251548509,43.6236743,1.4574945,3,,,,,POINT (1.4574945 43.6236743)
251548510,43.62395,1.4589198,3,,,,,POINT (1.4589198 43.62395)
251548512,43.6219515,1.4564673,3,,,,,POINT (1.4564673 43.6219515)
251548513,43.6228959,1.4569636,1,,,,,POINT (1.4569636 43.6228959)
251548514,43.6236336,1.4572961,4,,,,,POINT (1.4572961 43.6236336)
251548515,43.6232609,1.4571759,1,,,,,POINT (1.4571759 43.6232609)
251548518,43.623609,1.4567335,3,,,,,POINT (1.4567335 43.623609)
251548532,43.6224698,1.456738,3,,,,,POINT (1.456738 43.6224698)
251548564,43.6253168,1.454292,3,,,,,POINT (1.454292 43.6253168)
251548566,43.625415,1.4552379,3,,,,,POINT (1.4552379 43.625415)
251548569,43.6249224,1.4549425,1,,,,,POINT (1.4549425 43.6249224)
251549166,43.6164674,1.4433411,3,,,,,POINT (1.4433411 43.6164674)
251549169,43.6154256,1.4423945,3,,,,,POINT (1.4423945 43.6154256)
251549170,43.6159773,1.442889,3,,,,,POINT (1.442889 43.6159773)
