u,v,key,osmid,highway,lanes,maxspeed,name,ref,oneway,reversed,length,geometry,Inverse SP,Cost of return,Edge Betweenness,bridge,tunnel,access,junction,Groups
69228746,69365771,0,311764308,secondary,4,30 mph,West Peachtree Street Northwest,,True,False,139.88841740490577,"LINESTRING (-84.3873345 33.7738329, -84.3873333 33.7739245, -84.3873254 33.7746745, -84.3873243 33.7747447, -84.3873224 33.7750351, -84.3873221 33.7750909)",338.2227355468824,5.104241427858089,0.0065928178407785,,,,,B
69228754,8082786908,0,9246349,residential,,,3rd Street Northeast,,False,True,18.512445980441168,"LINESTRING (-84.3862159 33.7737544, -84.3864157 33.773766)",18.512445980441168,1.2366395703227868,0.0002502680928561,,,,,C
69228754,11332434689,0,9246349,residential,,,3rd Street Northeast,,False,False,133.00321285063757,"LINESTRING (-84.3862159 33.7737544, -84.3861724 33.7737519, -84.3861223 33.773749, -84.3860738 33.7737461, -84.3857539 33.7737275, -84.385533 33.7737168, -84.385066 33.7736875, -84.3848822 33.7736835, -84.3847802 33.7736907)",133.0032128506376,1.7987110269642133,0.0006939333643618,,,,,C
69228754,8082786909,0,867138015,residential,,,Cypress Street Northeast,,True,False,107.2824113696346,"LINESTRING (-84.3862159 33.7737544, -84.3862086 33.7738392, -84.3861985 33.7739564, -84.3861687 33.7743027, -84.3861645 33.7743526, -84.3861605 33.7744097, -84.3861432 33.7746616, -84.3861493 33.7746928, -84.3861652 33.7747128)",127.04104972535428,2.446749068137305,0.0009247234696884,,,,,C
69228773,11332434689,0,42507974,residential,,,3rd Street Northeast,,False,True,147.6049882511003,"LINESTRING (-84.383193 33.7735845, -84.3832916 33.7736111, -84.3835477 33.7736273, -84.3835908 33.77363, -84.3837581 33.7736406, -84.3838661 33.7736474, -84.3846895 33.7736996, -84.3847802 33.7736907)",147.6049882511003,1.7997055792855838,2.188267734797821e-05,,,,,C
69228773,69228777,0,970097384,residential,,,3rd Street Northeast,,True,False,139.86770460249028,"LINESTRING (-84.383193 33.7735845, -84.3831214 33.7735686, -84.383084 33.773564, -84.3826553 33.7735336, -84.382527 33.7735245, -84.3817782 33.7734715, -84.381688 33.773463)",417.33123970887095,5.330845847095899,0.0005785082530758,,,,,C
69228773,69436063,0,970097385,secondary,4,25 mph,Juniper Street Northeast,,True,False,129.46396157534969,"LINESTRING (-84.383193 33.7735845, -84.3832945 33.7725379, -84.383306 33.772424)",462.2420357950508,6.863756966563274,0.0047227506862082,,,,,B
69228777,69365785,0,547651109,secondary,3,35 mph,Piedmont Avenue Northeast,,True,False,140.00557524388367,"LINESTRING (-84.381688 33.773463, -84.3816832 33.7735123, -84.3816738 33.7736094, -84.3816685 33.7736639, -84.3816537 33.7738155, -84.3815696 33.7746704, -84.381566 33.774718)",417.1933690674776,5.327560529023257,0.0060288579611043,,,,,B
69228777,69228780,0,970097384,residential,,,3rd Street Northeast,,True,False,139.77940739459328,"LINESTRING (-84.381688 33.773463, -84.3816012 33.7734596, -84.3809323 33.7734159, -84.3802791 33.7733752, -84.38018 33.773369)",336.99667005738314,5.117844313225673,0.0007683585142431,,,,,C
69228780,69365786,0,9277340,residential,,25 mph,Myrtle Street Northeast,,False,False,139.76823192201502,"LINESTRING (-84.38018 33.773369, -84.3800676 33.7745431, -84.380066 33.7745594, -84.38006 33.774622)",139.768231922015,1.6798076648690945,0.0013366468355905,,,,,C
69228780,69436067,0,9277340,residential,,25 mph,Myrtle Street Northeast,,False,True,88.22807931410576,"LINESTRING (-84.38018 33.773369, -84.380202 33.7731374, -84.3802096 33.7730569, -84.380243 33.7727043, -84.3802466 33.7726668, -84.380255 33.772578)",88.22807931410577,1.621418605564097,0.0025831178029888,,,,,C
69228789,69228801,0,9246351,residential,,,3rd Street Northeast,,False,False,172.26298148499137,"LINESTRING (-84.377685 33.77344, -84.3776327 33.7734405, -84.377469 33.773442, -84.3773 33.773459, -84.377084 33.7735, -84.376779 33.773579, -84.376586 33.77361, -84.375967 33.77365, -84.3759291 33.7736503, -84.375848 33.773651)",172.26298148499134,1.3355615344430718,0.0006267222839359,,,,,C
