osmid,y,x,street_count,highway,junction,ref,railway,geometry
536428062,41.3905078,2.192655,4,,,,,POINT (2.192655 41.3905078)
536428072,41.3931424,2.1891783,4,traffic_signals,,,,POINT (2.1891783 41.3931424)
536838738,41.3780968,2.1358472,3,,,,,POINT (2.1358472 41.3780968)
536838747,41.3785281,2.1367945,4,,,,,POINT (2.1367945 41.3785281)
536838757,41.3788381,2.1374674,4,,,,,POINT (2.1374674 41.3788381)
536838760,41.3791779,2.1382206,3,,,,,POINT (2.1382206 41.3791779)
536838772,41.3771678,2.1494188,3,,,,,POINT (2.1494188 41.3771678)
536838775,41.3770279,2.1517942,4,,,,,POINT (2.1517942 41.3770279)
536838790,41.3763145,2.1505048,3,,,,,POINT (2.1505048 41.3763145)
537823321,41.4205928,2.140084,3,traffic_signals,,,,POINT (2.140084 41.4205928)
537823705,41.4205161,2.1403184,3,,,,,POINT (2.1403184 41.4205161)
537823729,41.4205009,2.1400453,3,,,,,POINT (2.1400453 41.4205009)
537823992,41.4204545,2.1402903,3,,,,,POINT (2.1402903 41.4204545)
537826494,41.4238304,2.1419417,3,,,,,POINT (2.1419417 41.4238304)
537827467,41.4218844,2.1409917,3,,,,,POINT (2.1409917 41.4218844)
537858378,41.4237371,2.1425322,1,,,,,POINT (2.1425322 41.4237371)
539147471,41.3758417,2.1337455,3,,,,,POINT (2.1337455 41.3758417)
539147472,41.3762142,2.1336181,3,,,,,POINT (2.1336181 41.3762142)
539147473,41.3761922,2.1335151,1,,,,,POINT (2.1335151 41.3761922)
539147474,41.3762402,2.1337383,1,,,,,POINT (2.1337383 41.3762402)
539147483,41.3790115,2.1364177,3,,,,,POINT (2.1364177 41.3790115)
539147484,41.3788936,2.1365098,3,,,,,POINT (2.1365098 41.3788936)
539147486,41.3772687,2.1378172,3,,,,,POINT (2.1378172 41.3772687)
539147487,41.3792121,2.1372223,3,,,,,POINT (2.1372223 41.3792121)
539147488,41.3798814,2.1377427,4,,,,,POINT (2.1377427 41.3798814)
539147489,41.3795813,2.1369654,3,,,,,POINT (2.1369654 41.3795813)
539184667,41.3759861,2.1404663,3,,,,,POINT (2.1404663 41.3759861)
539184669,41.3764108,2.1420166,3,,,,,POINT (2.1420166 41.3764108)
539186002,41.3758807,2.1477525,1,,,,,POINT (2.1477525 41.3758807)
540312571,41.3689238,2.1327211,3,,,,,POINT (2.1327211 41.3689238)
540312574,41.37122,2.132122,3,,,,,POINT (2.132122 41.37122)
540312576,41.3794996,2.1293864,4,,,,,POINT (2.1293864 41.3794996)
540312579,41.3825158,2.1283098,4,,,,,POINT (2.1283098 41.3825158)
540312581,41.3819014,2.1284891,3,,,,,POINT (2.1284891 41.3819014)
540312582,41.3798716,2.129028,3,,,,,POINT (2.129028 41.3798716)
540312585,41.3808887,2.1288726,3,,,,,POINT (2.1288726 41.3808887)
540312587,41.3811215,2.1287433,3,,,,,POINT (2.1287433 41.3811215)
540312590,41.382627,2.1295925,3,,,,,POINT (2.1295925 41.382627)
540312592,41.3818454,2.1305759,4,,,,,POINT (2.1305759 41.3818454)
540312596,41.3814386,2.1293507,3,,,,,POINT (2.1293507 41.3814386)
541061803,41.3825634,2.1349601,4,,,,,POINT (2.1349601 41.3825634)
541061806,41.3836449,2.1342612,4,,,,,POINT (2.1342612 41.3836449)
541643976,41.4008464,2.1836038,4,,,,,POINT (2.1836038 41.4008464)
541643980,41.4160527,2.2085354,3,,,,,POINT (2.2085354 41.4160527)
541643982,41.4168858,2.2096585,4,,,,,POINT (2.2096585 41.4168858)
541643983,41.4176076,2.2106142,3,,,,,POINT (2.2106142 41.4176076)
541643984,41.4168817,2.2073601,3,,,,,POINT (2.2073601 41.4168817)
541643986,41.4163212,2.2081615,4,,,,,POINT (2.2081615 41.4163212)
541643988,41.4143674,2.2107576,3,,,,,POINT (2.2107576 41.4143674)
541643991,41.4126232,2.2130427,3,,,,,POINT (2.2130427 41.4126232)
541643994,41.417957,2.2037851,4,,,,,POINT (2.2037851 41.417957)
541644006,41.4160708,2.2062769,4,,,,,POINT (2.2062769 41.4160708)
541644008,41.4177608,2.2085345,4,,,,,POINT (2.2085345 41.4177608)
541644011,41.4182819,2.2092306,2,,,,,POINT (2.2092306 41.4182819)
541644019,41.4196421,2.2037828,4,,,,,POINT (2.2037828 41.4196421)
541644020,41.4187943,2.2049014,4,,,,,POINT (2.2049014 41.4187943)
541644026,41.4152852,2.2073113,4,,,,,POINT (2.2073113 41.4152852)
541644027,41.4173876,2.2090179,4,,,,,POINT (2.2090179 41.4173876)
541644038,41.412657,2.215306,4,,,,,POINT (2.215306 41.412657)
541644040,41.4135076,2.2096634,4,,,,,POINT (2.2096634 41.4135076)
542641435,41.3768853,2.1442783,3,,,,,POINT (2.1442783 41.3768853)
542641437,41.3765392,2.1436614,3,,,,,POINT (2.1436614 41.3765392)
543552887,41.4120928,2.2047292,4,,,,,POINT (2.2047292 41.4120928)
543552897,41.410943,2.206254,3,,,,,POINT (2.206254 41.410943)
543552903,41.4105088,2.2068318,3,,,,,POINT (2.2068318 41.4105088)
543552907,41.4100926,2.207388,4,,,,,POINT (2.207388 41.4100926)
543552912,41.4092496,2.2085186,4,,,,,POINT (2.2085186 41.4092496)
543552915,41.4089541,2.2089096,4,,,,,POINT (2.2089096 41.4089541)
543552956,41.4113643,2.2079559,3,,,,,POINT (2.2079559 41.4113643)
543552977,41.41264,2.208521,4,,,,,POINT (2.208521 41.41264)
543552982,41.4151968,2.2119381,4,,,,,POINT (2.2119381 41.4151968)
543552988,41.4159116,2.2128867,4,,,,,POINT (2.2128867 41.4159116)
543552991,41.4161511,2.2132268,4,,,,,POINT (2.2132268 41.4161511)
543553025,41.4111193,2.203851,3,,,,,POINT (2.203851 41.4111193)
543553059,41.4143515,2.2130514,4,,,,,POINT (2.2130514 41.4143515)
543553089,41.4136186,2.2120857,3,,,,,POINT (2.2120857 41.4136186)
543553116,41.4131656,2.2114851,1,,,,,POINT (2.2114851 41.4131656)
543553128,41.4092413,2.2062565,4,,,,,POINT (2.2062565 41.4092413)
543553141,41.4143533,2.2017725,4,,,,,POINT (2.2017725 41.4143533)
544222987,41.4057127,2.1971009,4,,,,,POINT (2.1971009 41.4057127)
544222994,41.406104,2.1975594,4,,,,,POINT (2.1975594 41.406104)
544222999,41.4066594,2.1983451,4,,,,,POINT (2.1983451 41.4066594)
544223002,41.4083751,2.2005994,4,,,,,POINT (2.2005994 41.4083751)
544223009,41.4099529,2.2030117,4,,,,,POINT (2.2030117 41.4099529)
544223016,41.4100761,2.2028455,3,,,,,POINT (2.2028455 41.4100761)
544223024,41.4117937,2.2051203,3,,,,,POINT (2.2051203 41.4117937)
544223032,41.4143532,2.2085392,4,,,,,POINT (2.2085392 41.4143532)
544223037,41.415199,2.2096608,4,,,,,POINT (2.2096608 41.415199)
544223041,41.4160295,2.2107875,4,,,,,POINT (2.2107875 41.4160295)
544223044,41.4167612,2.2117526,3,,,,,POINT (2.2117526 41.4167612)
544298432,41.3762306,2.1366782,3,,,,,POINT (2.1366782 41.3762306)
544298434,41.3766485,2.1371989,3,,,,,POINT (2.1371989 41.3766485)
544807078,41.3829859,2.1716294,3,crossing,,,,POINT (2.1716294 41.3829859)
553098845,41.3745897,2.130901,4,,,,,POINT (2.130901 41.3745897)
553098856,41.3783928,2.137759,3,,,,,POINT (2.137759 41.3783928)
554183143,41.3809246,2.1404723,3,,,,,POINT (2.1404723 41.3809246)
555187275,41.389453,2.1601957,3,,,,,POINT (2.1601957 41.389453)
555187278,41.3886467,2.1612926,3,,,,,POINT (2.1612926 41.3886467)
555386271,41.3759072,2.1373896,1,,,,,POINT (2.1373896 41.3759072)
556334940,41.4079079,2.1284205,3,,,,,POINT (2.1284205 41.4079079)
556334957,41.4072536,2.1321143,3,,,,,POINT (2.1321143 41.4072536)
556334963,41.4069141,2.1334083,3,,,,,POINT (2.1334083 41.4069141)
556335003,41.4096033,2.1301305,4,,,,,POINT (2.1301305 41.4096033)
556335169,41.4091552,2.1263194,3,,,,,POINT (2.1263194 41.4091552)
556335228,41.4080027,2.1283661,4,,,,,POINT (2.1283661 41.4080027)
556344739,41.407834,2.1302283,3,,,,,POINT (2.1302283 41.407834)
556344763,41.4070477,2.1315691,1,,,,,POINT (2.1315691 41.4070477)
