osmid,y,x,street_count,highway,geometry
1016001213,51.4757851,-3.2134156,3,,POINT (-3.2134156 51.4757851)
1016001226,51.4782267,-3.2118465,3,,POINT (-3.2118465 51.4782267)
1016547653,51.4861613,-3.2165823,3,,POINT (-3.2165823 51.4861613)
1016547795,51.4863112,-3.2171245,3,,POINT (-3.2171245 51.4863112)
1016547836,51.4856933,-3.2166144,3,,POINT (-3.2166144 51.4856933)
1033695383,51.4830798,-3.1699444,3,,POINT (-3.1699444 51.4830798)
1033695446,51.4866482,-3.1606695,4,,POINT (-3.1606695 51.4866482)
1036629402,51.48376,-3.1645223,1,,POINT (-3.1645223 51.48376)
1037781666,51.4723018,-3.2059414,2,,POINT (-3.2059414 51.4723018)
1037781730,51.4723732,-3.2057976,2,,POINT (-3.2057976 51.4723732)
1038815855,51.4796712,-3.193834,1,,POINT (-3.193834 51.4796712)
1038815861,51.4806312,-3.1935222,3,,POINT (-3.1935222 51.4806312)
1038815876,51.4800411,-3.1951214,1,,POINT (-3.1951214 51.4800411)
