osmid,y,x,highway,street_count,ref,junction,geometry
42429682,40.7704755,-73.9663944,traffic_signals,4,,,POINT (-73.9663944 40.7704755)
42429685,40.7697588,-73.9646978,traffic_signals,4,,,POINT (-73.9646978 40.7697588)
42429688,40.7691137,-73.9631686,traffic_signals,4,,,POINT (-73.9631686 40.7691137)
42429690,40.7684416,-73.9615751,traffic_signals,4,,,POINT (-73.9615751 40.7684416)
42429693,40.7675009,-73.9593404,traffic_signals,4,,,POINT (-73.9593404 40.7675009)
42429694,40.7664881,-73.9569436,traffic_signals,4,,,POINT (-73.9569436 40.7664881)
42429700,40.7317982,-74.0011515,stop,3,,,POINT (-74.0011515 40.7317982)
42429701,40.7311376,-74.0029381,,3,,,POINT (-74.0029381 40.7311376)
42429752,40.7203425,-73.9941129,,4,,,POINT (-73.9941129 40.7203425)
42429754,40.7199105,-73.9929475,,4,,,POINT (-73.9929475 40.7199105)
42429756,40.7198217,-73.9921037,,4,,,POINT (-73.9921037 40.7198217)
42429762,40.7191029,-73.9902811,,4,,,POINT (-73.9902811 40.7191029)
42429766,40.7191062,-73.9897345,,4,,,POINT (-73.9897345 40.7191062)
42429769,40.7188741,-73.9889795,,4,,,POINT (-73.9889795 40.7188741)
42429773,40.7186305,-73.9881675,,4,,,POINT (-73.9881675 40.7186305)
42429782,40.7183916,-73.9873785,,4,,,POINT (-73.9873785 40.7183916)
42429806,40.717431,-73.9839974,traffic_signals,4,,,POINT (-73.9839974 40.717431)
42429809,40.716976,-73.982289,,3,,,POINT (-73.982289 40.716976)
42429811,40.716718,-73.981438,,3,,,POINT (-73.981438 40.716718)
42429812,40.716454,-73.9805736,traffic_signals,4,,,POINT (-73.9805736 40.716454)
42429814,40.715957,-73.9789246,traffic_signals,3,,,POINT (-73.9789246 40.715957)
42429819,40.7156979,-73.9780769,,3,,,POINT (-73.9780769 40.7156979)
42429829,40.7163185,-74.0061911,,3,,,POINT (-74.0061911 40.7163185)
42429830,40.7165336,-74.006667,traffic_signals,4,,,POINT (-74.006667 40.7165336)
42429832,40.7171217,-74.0079572,traffic_signals,4,,,POINT (-74.0079572 40.7171217)
42429833,40.717598,-74.009,,3,,,POINT (-74.009 40.717598)
42429874,40.7434569,-73.9881911,traffic_signals,4,,,POINT (-73.9881911 40.7434569)
42429876,40.7427711,-73.9865977,traffic_signals,4,,,POINT (-73.9865977 40.7427711)
42429888,40.7420713,-73.9849181,,4,,,POINT (-73.9849181 40.7420713)
42429890,40.7414165,-73.9833669,,4,,,POINT (-73.9833669 40.7414165)
42429896,40.7407511,-73.9817646,,4,,,POINT (-73.9817646 40.7407511)
42429900,40.7397948,-73.9795312,traffic_signals,4,,,POINT (-73.9795312 40.7397948)
42429910,40.7392336,-73.9781918,,3,,,POINT (-73.9781918 40.7392336)
42429918,40.738796,-73.977148,traffic_signals,4,,,POINT (-73.977148 40.738796)
42429970,40.766767,-73.971189,traffic_signals,3,,,POINT (-73.971189 40.766767)
42429971,40.7660912,-73.9695848,traffic_signals,4,,,POINT (-73.9695848 40.7660912)
42429974,40.7653837,-73.9678898,traffic_signals,4,,,POINT (-73.9678898 40.7653837)
42429976,40.764739,-73.9663609,traffic_signals,4,,,POINT (-73.9663609 40.764739)
42429980,40.764057,-73.9647558,traffic_signals,4,,,POINT (-73.9647558 40.764057)
42429981,40.763113,-73.962515,traffic_signals,4,,,POINT (-73.962515 40.763113)
42429986,40.762118,-73.9601302,traffic_signals,4,,,POINT (-73.9601302 40.762118)
42429999,40.7754121,-73.9839423,traffic_signals,3,,,POINT (-73.9839423 40.7754121)
42430004,40.7132501,-74.0092488,traffic_signals,4,,,POINT (-74.0092488 40.7132501)
42430007,40.7138581,-74.0105746,traffic_signals,4,,,POINT (-74.0105746 40.7138581)
42430009,40.7143259,-74.0115197,traffic_signals,3,,,POINT (-74.0115197 40.7143259)
42430030,40.7206316,-73.9949663,traffic_signals,4,,,POINT (-73.9949663 40.7206316)
42430034,40.7208958,-73.9957503,traffic_signals,4,,,POINT (-73.9957503 40.7208958)
42430038,40.7211736,-73.9965747,traffic_signals,4,,,POINT (-73.9965747 40.7211736)
42430041,40.7214592,-73.9973963,traffic_signals,4,,,POINT (-73.9973963 40.7214592)
42430044,40.7215953,-73.9977932,traffic_signals,3,,,POINT (-73.9977932 40.7215953)
42430050,40.7744056,-73.9656083,traffic_signals,3,,,POINT (-73.9656083 40.7744056)
42430052,40.7737351,-73.9640105,traffic_signals,4,,,POINT (-73.9640105 40.7737351)
42430056,40.7730236,-73.9623161,traffic_signals,4,,,POINT (-73.9623161 40.7730236)
42430060,40.7723765,-73.9607791,traffic_signals,4,,,POINT (-73.9607791 40.7723765)
42430063,40.7717042,-73.9591761,traffic_signals,4,,,POINT (-73.9591761 40.7717042)
42430068,40.7707623,-73.9569342,traffic_signals,4,,,POINT (-73.9569342 40.7707623)
42430075,40.7697673,-73.9545657,traffic_signals,4,,,POINT (-73.9545657 40.7697673)
42430102,40.7255633,-74.0045513,,3,,,POINT (-74.0045513 40.7255633)
42430108,40.7242643,-74.0047442,,3,,,POINT (-74.0047442 40.7242643)
42430115,40.7182917,-74.0053562,traffic_signals,4,,,POINT (-74.0053562 40.7182917)
42430118,40.7190003,-74.0051464,traffic_signals,4,,,POINT (-74.0051464 40.7190003)
42430122,40.7198425,-74.0051699,traffic_signals,4,,,POINT (-74.0051699 40.7198425)
42430126,40.7206562,-74.0052237,traffic_signals,5,,,POINT (-74.0052237 40.7206562)
42430131,40.7210318,-74.0052509,,3,,,POINT (-74.0052509 40.7210318)
42430136,40.722276,-74.0053408,,3,,,POINT (-74.0053408 40.722276)
42430143,40.7236306,-74.0047955,traffic_signals,4,,,POINT (-74.0047955 40.7236306)
42430147,40.7241732,-74.0045754,traffic_signals,4,,,POINT (-74.0045754 40.7241732)
42430154,40.725513,-74.004031,traffic_signals,4,,,POINT (-74.004031 40.725513)
42430160,40.72625,-74.00373,traffic_signals,3,,,POINT (-74.00373 40.72625)
42430164,40.726958,-74.003445,traffic_signals,4,,,POINT (-74.003445 40.726958)
42430167,40.727664,-74.003155,traffic_signals,4,,,POINT (-74.003155 40.727664)
42430187,40.7297532,-74.0021622,,5,,,POINT (-74.0021622 40.7297532)
42430205,40.7305503,-74.0017,traffic_signals,4,,,POINT (-74.0017 40.7305503)
42430217,40.7310625,-74.0014113,traffic_signals,3,,,POINT (-74.0014113 40.7310625)
42430231,40.731706,-74.000954,traffic_signals,4,,,POINT (-74.000954 40.731706)
42430233,40.732315,-74.000511,traffic_signals,4,,,POINT (-74.000511 40.732315)
42430235,40.732929,-74.000066,traffic_signals,4,,,POINT (-74.000066 40.732929)
42430237,40.7336634,-73.9995234,traffic_signals,4,,,POINT (-73.9995234 40.7336634)
42430241,40.7347874,-73.9987127,,4,,,POINT (-73.9987127 40.7347874)
42430247,40.735391,-73.998274,traffic_signals,4,,,POINT (-73.998274 40.735391)
42430249,40.736032,-73.997805,traffic_signals,4,,,POINT (-73.997805 40.736032)
42430253,40.737361,-73.99684,traffic_signals,4,,,POINT (-73.99684 40.737361)
42430255,40.738044,-73.996337,traffic_signals,4,,,POINT (-73.996337 40.738044)
42430257,40.738686,-73.995874,traffic_signals,4,,,POINT (-73.995874 40.738686)
42430259,40.739272,-73.995446,traffic_signals,4,,,POINT (-73.995446 40.739272)
42430263,40.740442,-73.994593,traffic_signals,4,,,POINT (-73.994593 40.740442)
42430265,40.7416288,-73.9937317,,4,,,POINT (-73.9937317 40.7416288)
42430269,40.7422328,-73.9932916,traffic_signals,4,,,POINT (-73.9932916 40.7422328)
42430271,40.7429103,-73.9927979,traffic_signals,4,,,POINT (-73.9927979 40.7429103)
42430274,40.744186,-73.991871,traffic_signals,4,,,POINT (-73.991871 40.744186)
42430277,40.7448186,-73.9914085,traffic_signals,4,,,POINT (-73.9914085 40.7448186)
42430279,40.745421,-73.990968,traffic_signals,4,,,POINT (-73.990968 40.745421)
42430282,40.746038,-73.990518,traffic_signals,4,,,POINT (-73.990518 40.746038)
42430288,40.747277,-73.989617,traffic_signals,4,,,POINT (-73.989617 40.747277)
42430292,40.7478958,-73.9891568,traffic_signals,4,,,POINT (-73.9891568 40.7478958)
42430295,40.7485081,-73.9886948,traffic_signals,4,,,POINT (-73.9886948 40.7485081)
42430298,40.7491217,-73.9882353,traffic_signals,4,,,POINT (-73.9882353 40.7491217)
42430304,40.7498011,-73.9877463,traffic_signals,4,,,POINT (-73.9877463 40.7498011)
42430308,40.7504574,-73.9872874,traffic_signals,4,,,POINT (-73.9872874 40.7504574)
42430311,40.751088,-73.9868238,traffic_signals,4,,,POINT (-73.9868238 40.751088)
42430314,40.7517,-73.986399,traffic_signals,4,,,POINT (-73.986399 40.7517)
42430317,40.752317,-73.985947,traffic_signals,4,,,POINT (-73.985947 40.752317)
42430320,40.7529437,-73.9854836,traffic_signals,4,,,POINT (-73.9854836 40.7529437)
42430324,40.7535585,-73.9850397,traffic_signals,4,,,POINT (-73.9850397 40.7535585)
42430329,40.754177,-73.984596,traffic_signals,3,,,POINT (-73.984596 40.754177)
42430333,40.754842,-73.984118,traffic_signals,4,,,POINT (-73.984118 40.754842)
42430338,40.755516,-73.983624,traffic_signals,4,,,POINT (-73.983624 40.755516)
42430342,40.7561421,-73.9831665,traffic_signals,4,,,POINT (-73.9831665 40.7561421)
