u,v,key,osmid,highway,name,oneway,reversed,length,Inverse SP,Cost of return,Edge Betweenness,geometry,lanes,maxspeed,bridge,ref,access,tunnel,junction,Groups
122130555,122130551,0,574674704,tertiary,North Waco Street,False,True,204.48792929215,204.48792929215,1.7328429009703392,0.0015542776955812,"LINESTRING (-97.341985 37.70438, -97.341982 37.702541)",,,,,,,,B
122130555,122475998,0,41287249,residential,West 11th Street North,False,False,109.62492393948013,109.62492393948014,1.7677799495672062,0.000481775968727,"LINESTRING (-97.341985 37.70438, -97.3418668 37.7043811, -97.3413804 37.7043858, -97.340739 37.704392)",,,,,,,,C
122130555,122498548,0,41287249,residential,West 11th Street North,False,True,111.5578099474124,111.5578099474124,1.7488936881940147,0.0012119574572862,"LINESTRING (-97.341985 37.70438, -97.3421093 37.704379, -97.3426599 37.7043747, -97.343253 37.70437)",,,,,,,,C
122130559,122130555,0,574674704,tertiary,North Waco Street,False,True,204.9328414287696,204.9328414287696,1.765711018241785,0.0012265567290658,"LINESTRING (-97.341981 37.706223, -97.341985 37.70438)",,,,,,,,B
122130559,122460608,0,13265949,residential,West 12th Street North,False,False,111.2935766407914,111.29357664079144,1.7112563985025682,0.0042730107402702,"LINESTRING (-97.341981 37.706223, -97.3421097 37.7062218, -97.3426492 37.7062167, -97.343246 37.706211)",,,,,,,,C
122130559,122460605,0,13265949,residential,West 12th Street North,False,True,109.44496819047184,109.44496819047184,1.7580377606567372,0.0007660622858682,"LINESTRING (-97.341981 37.706223, -97.3418623 37.7062241, -97.3413724 37.7062284, -97.340737 37.706234)",,,,,,,,C
122130559,122130563,0,574674704,tertiary,North Waco Street,False,False,200.26265719077549,200.26265719077549,1.7171058633682543,0.0029783967094258,"LINESTRING (-97.341981 37.706223, -97.3419784 37.7073811, -97.3419781 37.7075111, -97.3419778 37.7076856, -97.3419773 37.7079099, -97.341977 37.708024)",,,,,,,,B
122130563,122462072,0,13266206,tertiary,West 13th Street North,False,True,108.2946554091174,108.29465540911742,1.6411489676568802,0.0177335393210684,"LINESTRING (-97.341977 37.708024, -97.341817 37.7080249, -97.3416427 37.7080259, -97.3413858 37.7080274, -97.3411297 37.7080288, -97.3410069 37.7080295, -97.340746 37.708031)",,,,,,,,B
122130563,122462073,0,500852877,tertiary,West 13th Street North,False,False,111.99110827312845,111.99110827312845,1.612399596004927,0.0173998624327325,"LINESTRING (-97.341977 37.708024, -97.342153 37.7080228, -97.3426439 37.7080193, -97.3430354 37.7080165, -97.34325 37.708015)",,,,,,,,B
122130563,122130559,0,574674704,tertiary,North Waco Street,False,True,200.26265719077549,200.26265719077549,1.717105863368254,0.0010172278670318,"LINESTRING (-97.341977 37.708024, -97.3419773 37.7079099, -97.3419778 37.7076856, -97.3419781 37.7075111, -97.3419784 37.7073811, -97.341981 37.706223)",,,,,,,,B
122130563,122130567,0,1024452338,tertiary,North Waco Street,False,False,201.374607692092,201.374607692092,1.8666791325403311,0.0029076519795087,"LINESTRING (-97.341977 37.708024, -97.3419767 37.7081674, -97.3419766 37.7082315, -97.341976 37.7085233, -97.3419757 37.7086516, -97.3419754 37.7088214, -97.341975 37.709002, -97.3419746 37.7091694, -97.3419737 37.7095524, -97.341973 37.709835)",,,,,,,,B
122130567,122412102,0,13258759,residential,West 14th Street North,False,True,161.9606244035865,161.96062440358654,1.8664675025755573,0.0010239827539746,"LINESTRING (-97.341973 37.709835, -97.3418631 37.7098362, -97.340663 37.709849, -97.3402565 37.7098498, -97.340132 37.70985)",,,,,,,,C
122130567,122130569,0,500852878,tertiary,North Waco Street,False,False,96.73988386111834,96.73988386111834,1.6064773264860963,0.0033351709531145,"LINESTRING (-97.341973 37.709835, -97.3419728 37.7099099, -97.3419719 37.7103342, -97.341971 37.710705)",,,,,,,,B
122130567,122130563,0,1024452338,tertiary,North Waco Street,False,True,201.374607692092,201.374607692092,1.866679132540332,0.0021810295174032,"LINESTRING (-97.341973 37.709835, -97.3419737 37.7095524, -97.3419746 37.7091694, -97.341975 37.709002, -97.3419754 37.7088214, -97.3419757 37.7086516, -97.341976 37.7085233, -97.3419766 37.7082315, -97.3419767 37.7081674, -97.341977 37.708024)",,,,,,,,B
122130569,122130577,0,500852878,tertiary,North Waco Street,False,False,104.8571126341336,104.8571126341336,1.7174104228381255,0.0031148744789476,"LINESTRING (-97.341971 37.710705, -97.3419691 37.7115799, -97.341969 37.711648)",,,,,,,,B
