osmid,y,x,highway,street_count,ref,geometry
1418085453,-23.2059848,-45.9061112,,4,,POINT (-45.9061112 -23.2059848)
1418089631,-23.2044096,-45.9064676,,3,,POINT (-45.9064676 -23.2044096)
1418089633,-23.2052656,-45.9057795,,3,,POINT (-45.9057795 -23.2052656)
1418089638,-23.2071435,-45.904486,,3,,POINT (-45.904486 -23.2071435)
1418097505,-23.198725,-45.9125685,traffic_signals,4,,POINT (-45.9125685 -23.198725)
1418097521,-23.2046444,-45.9097304,,4,,POINT (-45.9097304 -23.2046444)
1418097524,-23.2049358,-45.9094696,traffic_signals,4,,POINT (-45.9094696 -23.2049358)
1418097530,-23.2067045,-45.9074777,traffic_signals,3,,POINT (-45.9074777 -23.2067045)
1418097533,-23.2047735,-45.9091592,,3,,POINT (-45.9091592 -23.2047735)
1418097534,-23.2044806,-45.9094471,,3,,POINT (-45.9094471 -23.2044806)
1418194209,-23.2135781,-45.9106025,,4,,POINT (-45.9106025 -23.2135781)
1418194212,-23.2136754,-45.9098827,traffic_signals,3,,POINT (-45.9098827 -23.2136754)
1418194243,-23.2120149,-45.9098658,,3,,POINT (-45.9098658 -23.2120149)
1418194317,-23.2147216,-45.9099703,,4,,POINT (-45.9099703 -23.2147216)
1418194360,-23.2147588,-45.9096008,,4,,POINT (-45.9096008 -23.2147588)
1418194417,-23.2153179,-45.9100586,,3,,POINT (-45.9100586 -23.2153179)
1418194443,-23.2154266,-45.909659,traffic_signals,4,,POINT (-45.909659 -23.2154266)
1418194461,-23.216129,-45.9024616,,3,,POINT (-45.9024616 -23.216129)
1418194467,-23.2160871,-45.9027376,,3,,POINT (-45.9027376 -23.2160871)
1418194468,-23.2163041,-45.9028264,,3,,POINT (-45.9028264 -23.2163041)
1418194469,-23.2163903,-45.9027688,,3,,POINT (-45.9027688 -23.2163903)
1418194474,-23.2164203,-45.9025272,,3,,POINT (-45.9025272 -23.2164203)
1418194476,-23.2198248,-45.9031451,,3,,POINT (-45.9031451 -23.2198248)
1418194482,-23.2197695,-45.9034118,,3,,POINT (-45.9034118 -23.2197695)
1418194484,-23.220061,-45.9034644,,3,,POINT (-45.9034644 -23.220061)
1418194489,-23.2200971,-45.9032021,,3,,POINT (-45.9032021 -23.2200971)
1418194527,-23.212133,-45.9094398,,3,,POINT (-45.9094398 -23.212133)
1418226775,-23.2215078,-45.9036525,,3,,POINT (-45.9036525 -23.2215078)
1418226791,-23.2222046,-45.9035357,,3,,POINT (-45.9035357 -23.2222046)
1418226887,-23.2214007,-45.9111356,traffic_signals,3,,POINT (-45.9111356 -23.2214007)
1418226898,-23.2217361,-45.910322,,3,,POINT (-45.910322 -23.2217361)
1418226915,-23.2189526,-45.9097968,,3,,POINT (-45.9097968 -23.2189526)
1418226925,-23.2193509,-45.9072729,traffic_signals,4,,POINT (-45.9072729 -23.2193509)
1418226926,-23.2195,-45.9062907,traffic_signals,4,,POINT (-45.9062907 -23.2195)
1418226933,-23.2199787,-45.9035152,,3,,POINT (-45.9035152 -23.2199787)
1418226946,-23.2188486,-45.9097772,,3,,POINT (-45.9097772 -23.2188486)
1418226948,-23.2190226,-45.908767,,3,,POINT (-45.908767 -23.2190226)
1418226950,-23.2191775,-45.9077419,,4,,POINT (-45.9077419 -23.2191775)
1418226952,-23.2196825,-45.9046444,,3,,POINT (-45.9046444 -23.2196825)
1418226974,-23.2194829,-45.9071994,,3,,POINT (-45.9071994 -23.2194829)
1418226990,-23.2156675,-45.9065743,,3,,POINT (-45.9065743 -23.2156675)
1418226991,-23.2158222,-45.9055911,,3,,POINT (-45.9055911 -23.2158222)
1418227013,-23.2209325,-45.9065621,,3,,POINT (-45.9065621 -23.2209325)
1418227014,-23.2202839,-45.9064383,,3,,POINT (-45.9064383 -23.2202839)
1418227016,-23.2179508,-45.9059955,,3,,POINT (-45.9059955 -23.2179508)
1418227017,-23.2172666,-45.9058658,,3,,POINT (-45.9058658 -23.2172666)
1418227019,-23.2166078,-45.9057465,,3,,POINT (-45.9057465 -23.2166078)
1418227026,-23.217715,-45.9069626,,3,,POINT (-45.9069626 -23.217715)
1418227028,-23.2172726,-45.9068787,,3,,POINT (-45.9068787 -23.2172726)
1418227053,-23.2178544,-45.9095921,,3,,POINT (-45.9095921 -23.2178544)
1418227057,-23.2180063,-45.9085871,,3,,POINT (-45.9085871 -23.2180063)
1418227062,-23.2181558,-45.9076011,,3,,POINT (-45.9076011 -23.2181558)
1418227066,-23.2178379,-45.909706,,1,,POINT (-45.909706 -23.2178379)
1418227068,-23.2178997,-45.9091791,,1,,POINT (-45.9091791 -23.2178997)
1418227069,-23.2179195,-45.9089678,,1,,POINT (-45.9089678 -23.2179195)
1418227070,-23.2180671,-45.9081843,,1,,POINT (-45.9081843 -23.2180671)
1418227079,-23.218105,-45.9079643,,1,,POINT (-45.9079643 -23.218105)
1418227080,-23.2181869,-45.9074212,,1,,POINT (-45.9074212 -23.2181869)
1418227082,-23.2171456,-45.9103003,,3,,POINT (-45.9103003 -23.2171456)
1418227099,-23.2171012,-45.9099923,,3,,POINT (-45.9099923 -23.2171012)
1418227102,-23.2175598,-45.9072314,,3,,POINT (-45.9072314 -23.2175598)
1418227108,-23.2166853,-45.9102225,traffic_signals,3,,POINT (-45.9102225 -23.2166853)
1418227121,-23.216885,-45.9099583,,3,,POINT (-45.9099583 -23.216885)
1418227122,-23.2173407,-45.9071443,,3,,POINT (-45.9071443 -23.2173407)
1418227162,-23.2164425,-45.9083265,,3,,POINT (-45.9083265 -23.2164425)
1418227164,-23.2166401,-45.907289,,3,,POINT (-45.907289 -23.2166401)
1418227165,-23.2166667,-45.9071407,,1,,POINT (-45.9071407 -23.2166667)
1418227171,-23.2155865,-45.9070895,,3,,POINT (-45.9070895 -23.2155865)
1418227177,-23.2154269,-45.908121,,3,,POINT (-45.908121 -23.2154269)
1418227183,-23.2152707,-45.9091011,,3,,POINT (-45.9091011 -23.2152707)
1418250919,-23.212088,-45.9067946,,3,,POINT (-45.9067946 -23.212088)
1418250928,-23.2154391,-45.9074272,,3,,POINT (-45.9074272 -23.2154391)
1418250929,-23.213229,-45.9070035,,3,,POINT (-45.9070035 -23.213229)
1418250930,-23.2131162,-45.9078311,,3,,POINT (-45.9078311 -23.2131162)
1418250939,-23.2151853,-45.9090412,,3,,POINT (-45.9090412 -23.2151853)
1418250941,-23.2153132,-45.908228,,4,,POINT (-45.908228 -23.2153132)
1418250950,-23.2155719,-45.9065832,,3,,POINT (-45.9065832 -23.2155719)
1418250957,-23.2140795,-45.9062906,,1,,POINT (-45.9062906 -23.2140795)
1418250963,-23.2157268,-45.9055985,,3,,POINT (-45.9055985 -23.2157268)
1418251012,-23.2124748,-45.9041799,,3,,POINT (-45.9041799 -23.2124748)
1418265977,-23.2089699,-45.9042891,,3,,POINT (-45.9042891 -23.2089699)
1418266000,-23.2090144,-45.9038724,,3,,POINT (-45.9038724 -23.2090144)
1418266167,-23.207404,-45.9077372,traffic_signals,3,,POINT (-45.9077372 -23.207404)
1418379225,-23.2192479,-45.907254,traffic_signals,4,,POINT (-45.907254 -23.2192479)
1418379237,-23.2194052,-45.9062691,traffic_signals,4,,POINT (-45.9062691 -23.2194052)
1418379291,-23.2189612,-45.9091461,,3,,POINT (-45.9091461 -23.2189612)
1418379320,-23.2196493,-45.9048551,,3,,POINT (-45.9048551 -23.2196493)
1418379339,-23.2190659,-45.9091623,,3,,POINT (-45.9091623 -23.2190659)
1419388823,-23.2196545,-45.9010566,,3,,POINT (-45.9010566 -23.2196545)
1419388824,-23.2217017,-45.900923,,3,,POINT (-45.900923 -23.2217017)
1419388825,-23.2196351,-45.9009242,,3,,POINT (-45.9009242 -23.2196351)
1419389683,-23.2143714,-45.900851,,3,,POINT (-45.900851 -23.2143714)
1419389691,-23.2121883,-45.9003573,,3,,POINT (-45.9003573 -23.2121883)
1419391306,-23.2170504,-45.8975895,,3,,POINT (-45.8975895 -23.2170504)
1419391317,-23.2149997,-45.8951659,motorway_junction,3,150,POINT (-45.8951659 -23.2149997)
1419392774,-23.2173342,-45.8968346,,3,,POINT (-45.8968346 -23.2173342)
1419394867,-23.2221748,-45.9019817,,3,,POINT (-45.9019817 -23.2221748)
1419394879,-23.2207127,-45.9004012,,3,,POINT (-45.9004012 -23.2207127)
1419394900,-23.2225168,-45.9007609,,3,,POINT (-45.9007609 -23.2225168)
1419394921,-23.219988,-45.8996133,,3,,POINT (-45.8996133 -23.219988)
1419394922,-23.2202046,-45.9010318,,3,,POINT (-45.9010318 -23.2202046)
1419394955,-23.21984,-45.9007026,,3,,POINT (-45.9007026 -23.21984)
1419396603,-23.217151,-45.9010543,,3,,POINT (-45.9010543 -23.217151)
1419396621,-23.2176276,-45.8982218,,3,,POINT (-45.8982218 -23.2176276)
1419396624,-23.2180175,-45.8991527,,3,,POINT (-45.8991527 -23.2180175)
1419396635,-23.2170264,-45.900877,,3,,POINT (-45.900877 -23.2170264)
1419426827,-23.2165618,-45.8959673,,3,,POINT (-45.8959673 -23.2165618)
1419426966,-23.2164017,-45.8952562,,3,,POINT (-45.8952562 -23.2164017)
1419426990,-23.2158449,-45.895202,,3,,POINT (-45.895202 -23.2158449)
1419451280,-23.2137664,-45.8924375,,3,,POINT (-45.8924375 -23.2137664)
1419489186,-23.2099937,-45.8967399,,3,,POINT (-45.8967399 -23.2099937)
