osmid,y,x,highway,street_count,railway,geometry
195589443,-34.6208826,-58.3998283,,4,,POINT (-58.3998283 -34.6208826)
195589444,-34.6185823,-58.4000442,traffic_signals,4,,POINT (-58.4000442 -34.6185823)
195590246,-34.610238,-58.407671,traffic_signals,3,,POINT (-58.407671 -34.610238)
195590247,-34.6239821,-58.4040331,traffic_signals,3,,POINT (-58.4040331 -34.6239821)
195590854,-34.6139629,-58.4085698,traffic_signals,4,,POINT (-58.4085698 -34.6139629)
195590855,-34.6141118,-58.4128867,traffic_signals,4,,POINT (-58.4128867 -34.6141118)
195590856,-34.6147232,-58.4186116,,3,,POINT (-58.4186116 -34.6147232)
195591482,-34.6196603,-58.4139468,traffic_signals,4,,POINT (-58.4139468 -34.6196603)
195591484,-34.6199991,-58.4196187,traffic_signals,4,,POINT (-58.4196187 -34.6199991)
195591485,-34.6204401,-58.4253804,,4,,POINT (-58.4253804 -34.6204401)
195591486,-34.6205811,-58.4268841,traffic_signals,4,,POINT (-58.4268841 -34.6205811)
195592513,-34.6072696,-58.4199604,traffic_signals,4,,POINT (-58.4199604 -34.6072696)
195592515,-34.6085371,-58.4200547,traffic_signals,4,,POINT (-58.4200547 -34.6085371)
195592516,-34.6097125,-58.4199209,traffic_signals,4,,POINT (-58.4199209 -34.6097125)
195592518,-34.6111147,-58.4197165,traffic_signals,4,,POINT (-58.4197165 -34.6111147)
195592519,-34.616653,-58.4183544,traffic_signals,4,,POINT (-58.4183544 -34.616653)
195592521,-34.6174615,-58.418264,traffic_signals,4,,POINT (-58.418264 -34.6174615)
195592522,-34.6244997,-58.4177781,traffic_signals,4,,POINT (-58.4177781 -34.6244997)
195593005,-34.607273,-58.418671,,3,,POINT (-58.418671 -34.607273)
195594487,-34.6085253,-58.4187686,traffic_signals,4,,POINT (-58.4187686 -34.6085253)
195594489,-34.611019,-58.4184834,traffic_signals,4,,POINT (-58.4184834 -34.611019)
195594490,-34.6138751,-58.4172551,traffic_signals,4,,POINT (-58.4172551 -34.6138751)
195594491,-34.6173389,-58.4168591,traffic_signals,4,,POINT (-58.4168591 -34.6173389)
195595770,-34.6093754,-58.414574,traffic_signals,4,,POINT (-58.414574 -34.6093754)
195595772,-34.6107346,-58.414438,traffic_signals,4,,POINT (-58.414438 -34.6107346)
195595773,-34.612606,-58.4134265,traffic_signals,4,,POINT (-58.4134265 -34.612606)
195595774,-34.6134094,-58.4131241,,3,,POINT (-58.4131241 -34.6134094)
195595775,-34.6206274,-58.4125381,traffic_signals,4,,POINT (-58.4125381 -34.6206274)
195595779,-34.6229538,-58.412041,traffic_signals,4,,POINT (-58.412041 -34.6229538)
195595780,-34.6238501,-58.4114775,,4,,POINT (-58.4114775 -34.6238501)
195596410,-34.6178479,-58.4110027,,3,,POINT (-58.4110027 -34.6178479)
195596411,-34.6187766,-58.4196224,,4,,POINT (-58.4196224 -34.6187766)
195596413,-34.6192147,-58.4255924,,4,,POINT (-58.4255924 -34.6192147)
195597693,-34.6105352,-58.4117411,traffic_signals,4,,POINT (-58.4117411 -34.6105352)
195597694,-34.6118458,-58.4116813,traffic_signals,4,,POINT (-58.4116813 -34.6118458)
