u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,Inverse SP,Cost of return,Edge Betweenness,geometry,ref,bridge,junction,width,tunnel,access,Groups
83696940,83603990,0,10147155,residential,2,20 mph,Goodwin Circle,False,True,31.16485559664762,31.16485559664762,1.4969037799839475,0.0002963841138114,"LINESTRING (-111.935597 40.7938754, -111.935314 40.7938769, -111.9352268 40.7938773)",,,,,,,C
83697647,83637463,0,10147280,residential,2,20 mph,Dorchester Drive,False,False,315.6586529606455,315.65865296064555,1.3519414671260306,2.5482179960075577e-06,"LINESTRING (-111.8872755 40.7892199, -111.8872082 40.7892765, -111.8866939 40.7897216, -111.886592 40.7897871, -111.886483 40.7898457, -111.8863678 40.7898971, -111.886273 40.7899322, -111.8861753 40.7899624, -111.8860752 40.7899876, -111.885973 40.7900075, -111.8851828 40.790116, -111.8850914 40.7901318, -111.8850024 40.7901541, -111.8849167 40.7901827, -111.8848349 40.7902173, -111.884763 40.7902547, -111.8846958 40.7902967, -111.8846338 40.790343, -111.8845774 40.7903933, -111.8844744 40.790515, -111.8843578 40.7906809, -111.884325 40.7907353)",,,,,,,C
83697647,83676944,0,10147280,residential,2,20 mph,Dorchester Drive,False,True,70.21915710184449,70.21915710184449,1.7770841339772767,0.0014790208727172,"LINESTRING (-111.8872755 40.7892199, -111.8873199 40.7891764, -111.8873927 40.7891114, -111.8875082 40.7890315, -111.8876225 40.7889719, -111.8876991 40.7889384, -111.8877796 40.7889107, -111.8878632 40.788889, -111.8879492 40.7888735)",,,,,,,C
83697647,83647381,0,10148813,residential,2,20 mph,South Sandrun Road,False,False,65.46716793033065,65.46716793033067,1.7907098843512572,3.954131373115176e-06,"LINESTRING (-111.8872755 40.7892199, -111.8872104 40.7891848, -111.8871263 40.7891474, -111.8870373 40.7891171, -111.8869445 40.7890942, -111.8868665 40.7890812, -111.8867873 40.7890735, -111.8867075 40.7890711, -111.8865426 40.7890809)",,,,,,,C
83697647,83605701,0,"[10138307, 10148813]",residential,2,20 mph,"['North Sandrun Road', 'South Sandrun Road']",False,"[False, True]",230.55361825850545,230.55361825850548,1.380325675601069,0.0011796491929793,"LINESTRING (-111.8872755 40.7892199, -111.8873366 40.7892614, -111.8874599 40.7893646, -111.8875203 40.7894204, -111.8875646 40.7894751, -111.8876104 40.7895486, -111.8876457 40.7896253, -111.8876701 40.7897044, -111.8876834 40.7897851, -111.8876853 40.7898663, -111.8876759 40.7899473, -111.8876552 40.790027, -111.8876251 40.7901014, -111.8875852 40.7901732, -111.8875359 40.7902415, -111.8874777 40.7903057, -111.8874113 40.7903651, -111.8873523 40.7904081, -111.8872292 40.7905023, -111.8871139 40.7905797, -111.8869919 40.7906509, -111.8868637 40.7907157, -111.8867301 40.7907737, -111.8865915 40.7908247)",,,,,,,C
83697971,83652391,0,10150942,other,,20 mph,Richards Street,False,True,187.4207437034715,187.4207437034715,1.6023683097667072,0.0012857077833649,"LINESTRING (-111.892538 40.74158, -111.8925376 40.741694, -111.8925361 40.7417877, -111.8925362 40.7419071, -111.892533 40.7427019, -111.8925334 40.7429388, -111.8925322 40.7431956, -111.8925321 40.7432655)",,,,,,,C
83697971,83553449,0,"[10147359, 1352365087]",secondary,"['5', '6']",30 mph,1300 South,False,"[False, True]",122.77838560662433,122.7783856066243,1.6556159659254417,0.0244614868482954,"LINESTRING (-111.892538 40.74158, -111.8919449 40.7415772, -111.8919164 40.7415771, -111.891726 40.7415762, -111.891512 40.7415752, -111.8912904 40.7415742, -111.8910807 40.7415763)",,,,,,,B
83697971,83697973,0,"[1352365088, 1352365089]",secondary,5,30 mph,1300 South,False,False,117.6970999043442,117.6970999043442,1.7235822169979298,0.0298464865609618,"LINESTRING (-111.892538 40.74158, -111.892697 40.7415807, -111.8931991 40.741582, -111.893814 40.7415858, -111.893935 40.7415864)",,,,,,,B
83697973,83678608,0,198549602,tertiary,2,25 mph,West Temple,False,False,261.169419620429,261.169419620429,1.58836721428022,0.0028197350169614,"LINESTRING (-111.893935 40.7415864, -111.893933 40.7414711, -111.8939338 40.7413528, -111.8939388 40.7406311, -111.8939416 40.7402256, -111.8939425 40.739931, -111.8939477 40.7393735, -111.893949 40.7393073, -111.8939494 40.7392377)",,,,,,,B
83697973,83625154,0,273123910,tertiary,2,25 mph,West Temple,False,True,140.91264507497684,140.9126450749769,1.6658827214571663,0.0221209046841694,"LINESTRING (-111.893935 40.7415864, -111.893935 40.7417009, -111.8939421 40.7419531, -111.8939549 40.7424373, -111.893954 40.7427746, -111.8939545 40.7428535)",,,,,,,B
83697973,83626379,0,684494725,secondary,5,30 mph,1300 South,False,False,117.10739775623952,117.10739775623956,1.6000103449607932,0.0211757794164088,"LINESTRING (-111.893935 40.7415864, -111.894044 40.7415859, -111.894293 40.7415846, -111.894472 40.7415838, -111.894658 40.7415828, -111.895112 40.7415806, -111.895325 40.7415796)",,,,,,,B
83697973,83697971,0,"[1352365088, 1352365089]",secondary,5,30 mph,1300 South,False,True,117.6970999043442,117.6970999043442,1.7235822169979298,0.0223673788730936,"LINESTRING (-111.893935 40.7415864, -111.893814 40.7415858, -111.8931991 40.741582, -111.892697 40.7415807, -111.892538 40.74158)",,,,,,,B
83698593,83662134,0,10147478,residential,2,20 mph,Tomahawk Drive,False,True,222.45969782014123,222.4596978201413,1.208862402020115,0.0002963841138114,"LINESTRING (-111.85219 40.7844577, -111.8521178 40.7844577, -111.8519497 40.7844577, -111.8516147 40.7843113, -111.8510053 40.7840383, -111.8504617 40.7838343, -111.8497953 40.7836712)",,,,,,,C
83698593,83571684,0,10149933,residential,2,20 mph,Perrys Hollow Road,False,False,82.12118412079462,82.12118412079462,1.3018795917018977,0.0005925924884508,"LINESTRING (-111.85219 40.7844577, -111.8521814 40.7849257, -111.8520355 40.7851726)",,,,,,,C
83698593,83546687,0,"[10128090, 10149933]",residential,2,20 mph,Perrys Hollow Road,False,True,389.8256673973482,389.8256673973481,1.314226689772513,0.0011844820202131,"LINESTRING (-111.85219 40.7844577, -111.8521814 40.7842238, -111.8521986 40.7838858, -111.8525247 40.7829175, -111.8525176 40.7827758, -111.8524475 40.7825275, -111.852293 40.7822871, -111.8521138 40.7821745, -111.8519153 40.7821051, -111.8507894 40.7821051, -111.850688 40.7821051)",,,,,,,C
83699252,83640926,0,10147543,residential,,20 mph,Pioneer Circle,False,False,122.28017864070752,122.28017864070752,1.2667310511914118,0.0002963841138114,"LINESTRING (-111.9181393 40.7556937, -111.919591 40.7557015)",,,,,,,C
83699548,83637465,0,10147629,tertiary,2,20 mph,East Capitol Boulevard,False,False,144.89848256877252,144.89848256877252,1.5799856046192868,0.0011791219754629,"LINESTRING (-111.8841715 40.789062, -111.8839645 40.7895007, -111.8838343 40.7897376, -111.883729 40.7898875, -111.8835801 40.7900652, -111.8834152 40.790222)",,,,,,,B
83699548,83647385,0,10147629,tertiary,2,20 mph,East Capitol Boulevard,False,True,144.65756945914086,144.65756945914086,1.205584342979226,0.0014726942625202,"LINESTRING (-111.8841715 40.789062, -111.8842399 40.7889188, -111.8843754 40.7887076, -111.8846181 40.7884294, -111.8848072 40.7882467, -111.8851385 40.788005)",,,,,,,B
83699548,83647381,0,10148813,residential,2,20 mph,South Sandrun Road,False,True,205.10521806379785,205.1052180637978,1.190395114688094,1.405913377107618e-06,"LINESTRING (-111.8841715 40.789062, -111.8842779 40.7890928, -111.8845108 40.7891666, -111.8846616 40.7892022, -111.8848154 40.7892296, -111.8849713 40.7892486, -111.8851013 40.7892579, -111.8852317 40.7892614, -111.8853622 40.7892589, -111.8857101 40.7892222, -111.8865426 40.7890809)",,,,,,,C
83700747,1663354107,0,10147905,residential,,25 mph,Wall Street,False,False,49.70934797423673,49.70934797423673,1.4843041239880437,0.0006122752757303,"LINESTRING (-111.8896571 40.7746444, -111.8896547 40.7747161, -111.8896466 40.7749547, -111.889642 40.7750913)",,,,,,,C
83700747,83702408,0,10148233,residential,,20 mph,Hillside Avenue,False,False,120.99552058155716,120.99552058155716,1.789423032366368,0.0005723824836549,"LINESTRING (-111.8896571 40.7746444, -111.8889412 40.7746466, -111.8883069 40.7746544, -111.8882203 40.7746551)",,,,,,,C
83700747,83687201,0,10148233,residential,,20 mph,Hillside Avenue,False,True,124.0950353660792,124.09503536607916,1.5373956428475604,0.0053241060895204,"LINESTRING (-111.8896571 40.7746444, -111.8903135 40.7746509, -111.8905303 40.7746536, -111.890538 40.7746536, -111.8909103 40.7747034, -111.8911217 40.7747316)",,,,,,,C
83701029,5780893968,0,10147985,residential,,20 mph,Stanton Avenue,False,True,145.2579354829979,145.25793548299794,1.2504220743759908,0.0002963841138114,"LINESTRING (-111.880782 40.7576265, -111.8809105 40.7576195, -111.8823039 40.7576161, -111.8825062 40.7576193)",,,,,,,C
83701128,83549392,0,10148008,residential,2,20 mph,Riley Circle,False,False,69.80694224885512,69.80694224885512,1.2450182732737842,0.0002963841138114,"LINESTRING (-111.915998 40.7373346, -111.9167377 40.7373295, -111.9168265 40.7373289)",,,,,,,C
