osmid,y,x,street_count,highway,railway,geometry
2407095793,-22.9420097,-43.1797057,3,,,POINT (-43.1797057 -22.9420097)
2407095800,-22.9419796,-43.1793237,3,,,POINT (-43.1793237 -22.9419796)
2407116538,-22.9418684,-43.1788781,3,,,POINT (-43.1788781 -22.9418684)
2407129401,-22.9430408,-43.1746353,3,,,POINT (-43.1746353 -22.9430408)
2411532952,-22.9301857,-43.231471,1,,,POINT (-43.231471 -22.9301857)
2420194947,-22.8852632,-43.2316242,3,,,POINT (-43.2316242 -22.8852632)
2420194955,-22.8848601,-43.228063,3,,,POINT (-43.228063 -22.8848601)
2420194971,-22.8837592,-43.2286866,3,,,POINT (-43.2286866 -22.8837592)
2420194973,-22.8856322,-43.2292051,3,,,POINT (-43.2292051 -22.8856322)
2420194977,-22.8866282,-43.2333738,3,,,POINT (-43.2333738 -22.8866282)
2420194982,-22.8847192,-43.2275399,3,,,POINT (-43.2275399 -22.8847192)
2420194989,-22.8846305,-43.2279421,3,,,POINT (-43.2279421 -22.8846305)
2420194991,-22.8846869,-43.2274103,3,,,POINT (-43.2274103 -22.8846869)
2420204256,-22.8845698,-43.227147,3,,,POINT (-43.227147 -22.8845698)
2420204267,-22.883632,-43.2282467,3,,,POINT (-43.2282467 -22.883632)
2420204276,-22.8821715,-43.2296026,3,,,POINT (-43.2296026 -22.8821715)
2420206959,-22.8828415,-43.2251287,3,,,POINT (-43.2251287 -22.8828415)
2420206960,-22.8819563,-43.2268188,4,,,POINT (-43.2268188 -22.8819563)
2420233767,-22.8790455,-43.2215358,3,,,POINT (-43.2215358 -22.8790455)
2420233777,-22.8797955,-43.2233463,3,,,POINT (-43.2233463 -22.8797955)
2420233782,-22.8800897,-43.2204858,1,,,POINT (-43.2204858 -22.8800897)
2420233789,-22.879271,-43.2215419,3,,,POINT (-43.2215419 -22.879271)
2420233799,-22.8794866,-43.222946,1,,,POINT (-43.222946 -22.8794866)
2420233808,-22.8786199,-43.2219496,4,,,POINT (-43.2219496 -22.8786199)
2420233817,-22.8796411,-43.2247049,3,,,POINT (-43.2247049 -22.8796411)
2420233831,-22.8782201,-43.2229145,3,,,POINT (-43.2229145 -22.8782201)
2420233834,-22.8797436,-43.2211808,3,,,POINT (-43.2211808 -22.8797436)
2420233838,-22.8797061,-43.2212618,3,,,POINT (-43.2212618 -22.8797061)
2420236059,-22.876308,-43.2227234,3,,,POINT (-43.2227234 -22.876308)
2420236066,-22.8758576,-43.222893,3,,,POINT (-43.222893 -22.8758576)
2420239229,-22.8779613,-43.2230245,3,,,POINT (-43.2230245 -22.8779613)
2420239236,-22.8780063,-43.2227678,3,,,POINT (-43.2227678 -22.8780063)
2420239246,-22.8780579,-43.2224709,3,,,POINT (-43.2224709 -22.8780579)
2420239256,-22.8770204,-43.2222342,3,,,POINT (-43.2222342 -22.8770204)
2420239258,-22.8767343,-43.2224399,3,,,POINT (-43.2224399 -22.8767343)
2420455604,-22.8793054,-43.2160413,1,,,POINT (-43.2160413 -22.8793054)
2420455608,-22.8785457,-43.2188006,4,,,POINT (-43.2188006 -22.8785457)
2420455616,-22.8793994,-43.2181673,3,,,POINT (-43.2181673 -22.8793994)
2420455624,-22.8780636,-43.2186425,4,,,POINT (-43.2186425 -22.8780636)
2420455643,-22.8792979,-43.2184079,3,,,POINT (-43.2184079 -22.8792979)
2420455645,-22.8781862,-43.2189964,3,,,POINT (-43.2189964 -22.8781862)
2420455655,-22.8784666,-43.2192157,3,,,POINT (-43.2192157 -22.8784666)
2420455665,-22.8785463,-43.2195993,3,,,POINT (-43.2195993 -22.8785463)
2420455667,-22.8784623,-43.2190823,3,,,POINT (-43.2190823 -22.8784623)
2420455673,-22.8779843,-43.2195107,1,,,POINT (-43.2195107 -22.8779843)
2420455675,-22.8777149,-43.2194559,1,,,POINT (-43.2194559 -22.8777149)
2420455677,-22.8787619,-43.217359,3,,,POINT (-43.217359 -22.8787619)
2420455690,-22.8788151,-43.2180939,3,,,POINT (-43.2180939 -22.8788151)
2420455694,-22.8782472,-43.2178227,3,,,POINT (-43.2178227 -22.8782472)
2420455711,-22.8788643,-43.2189126,1,,,POINT (-43.2189126 -22.8788643)
2420455730,-22.8791699,-43.2187125,3,,,POINT (-43.2187125 -22.8791699)
