osmid,y,x,highway,street_count,ref,junction,geometry
255289006,40.4222034,-3.6817478,,3,,,POINT (-3.6817478 40.4222034)
255289007,40.4222649,-3.6830184,,4,,,POINT (-3.6830184 40.4222649)
255289590,40.4233743,-3.675835,traffic_signals,4,,,POINT (-3.675835 40.4233743)
255327221,40.3998353,-3.7058419,,3,,,POINT (-3.7058419 40.3998353)
255328326,40.3958349,-3.7016176,,3,,,POINT (-3.7016176 40.3958349)
255458783,40.4074228,-3.713921,,3,,,POINT (-3.713921 40.4074228)
255520692,40.4138007,-3.7271561,,3,,,POINT (-3.7271561 40.4138007)
255521017,40.4087569,-3.7237401,traffic_signals,4,,,POINT (-3.7237401 40.4087569)
255521018,40.4106072,-3.7233011,,4,,,POINT (-3.7233011 40.4106072)
255521468,40.4046044,-3.742312,,3,,,POINT (-3.742312 40.4046044)
255521483,40.407516,-3.7261999,,3,,,POINT (-3.7261999 40.407516)
255521485,40.4084993,-3.7253254,,3,,,POINT (-3.7253254 40.4084993)
255521486,40.4086663,-3.725105,,3,,,POINT (-3.725105 40.4086663)
255521487,40.4087348,-3.7247528,,3,,,POINT (-3.7247528 40.4087348)
255521801,40.3967725,-3.7513212,,3,,,POINT (-3.7513212 40.3967725)
255522010,40.4017906,-3.7363831,traffic_signals,3,,,POINT (-3.7363831 40.4017906)
255522013,40.4036198,-3.7295282,,3,,,POINT (-3.7295282 40.4036198)
255522024,40.4025657,-3.7323547,,3,,,POINT (-3.7323547 40.4025657)
255522035,40.4047567,-3.7328985,,3,,,POINT (-3.7328985 40.4047567)
255522036,40.4050054,-3.7323059,,3,,,POINT (-3.7323059 40.4050054)
255522040,40.404846,-3.73106,,5,,,POINT (-3.73106 40.404846)
255522041,40.4033196,-3.7304221,,3,,,POINT (-3.7304221 40.4033196)
255522062,40.4028372,-3.7316994,,3,,,POINT (-3.7316994 40.4028372)
255522067,40.4030871,-3.7310616,,3,,,POINT (-3.7310616 40.4030871)
255522085,40.4062416,-3.7300245,,3,,,POINT (-3.7300245 40.4062416)
255522101,40.4057439,-3.7311289,,3,,,POINT (-3.7311289 40.4057439)
255559615,40.403598,-3.7296472,,4,,,POINT (-3.7296472 40.403598)
255625343,40.3970354,-3.7041569,,4,,,POINT (-3.7041569 40.3970354)
