osmid,y,x,street_count,highway,ref,junction,geometry
69146733,33.763958,-84.371957,4,traffic_signals,,,POINT (-84.371957 33.763958)
69146743,33.764849,-84.371944,4,,,,POINT (-84.371944 33.764849)
69146751,33.766387,-84.371922,4,,,,POINT (-84.371922 33.766387)
69146756,33.767282,-84.371909,3,,,,POINT (-84.371909 33.767282)
69146761,33.767902,-84.371893,3,,,,POINT (-84.371893 33.767902)
69146765,33.768416,-84.371881,3,,,,POINT (-84.371881 33.768416)
69146767,33.768753,-84.37187,3,,,,POINT (-84.37187 33.768753)
69146772,33.769926,-84.371828,3,,,,POINT (-84.371828 33.769926)
69146775,33.771176,-84.371773,4,traffic_signals,,,POINT (-84.371773 33.771176)
69146790,33.7736584,-84.370957,4,traffic_signals,,,POINT (-84.370957 33.7736584)
69147377,33.767926,-84.3540535,3,motorway_junction,,,POINT (-84.3540535 33.767926)
69147500,33.7589264,-84.3610938,3,stop,,,POINT (-84.3610938 33.7589264)
69147502,33.7604416,-84.362672,3,,,,POINT (-84.362672 33.7604416)
69148117,33.737822,-84.430755,3,,,,POINT (-84.430755 33.737822)
69148120,33.738922,-84.430718,4,,,,POINT (-84.430718 33.738922)
69148124,33.7480486,-84.428671,3,,,,POINT (-84.428671 33.7480486)
69149226,33.7755614,-84.3907203,3,motorway_junction,249D,,POINT (-84.3907203 33.7755614)
69149229,33.772129,-84.3906311,3,,,,POINT (-84.3906311 33.772129)
69149829,33.7556604,-84.3785996,3,,,,POINT (-84.3785996 33.7556604)
69149882,33.7530828,-84.3717802,4,,,,POINT (-84.3717802 33.7530828)
69149892,33.752177,-84.371489,3,,,,POINT (-84.371489 33.752177)
69149894,33.751456,-84.371167,3,,,,POINT (-84.371167 33.751456)
69149933,33.7445634,-84.3994387,3,motorway_junction,57,,POINT (-84.3994387 33.7445634)
69150248,33.7415258,-84.414684,3,motorway_junction,55A,,POINT (-84.414684 33.7415258)
69150256,33.741903,-84.417302,3,,,,POINT (-84.417302 33.741903)
69151116,33.7823436,-84.3548233,3,,,,POINT (-84.3548233 33.7823436)
69151125,33.7819098,-84.3541579,3,,,,POINT (-84.3541579 33.7819098)
69151131,33.781002,-84.368164,3,,,,POINT (-84.368164 33.781002)
69151149,33.781183,-84.368862,3,traffic_signals,,,POINT (-84.368862 33.781183)
69154648,33.720261,-84.417557,1,,,,POINT (-84.417557 33.720261)
69154649,33.720255,-84.41687,4,,,,POINT (-84.41687 33.720255)
69154661,33.751516,-84.370978,3,,,,POINT (-84.370978 33.751516)
69154663,33.7529538,-84.3716414,3,,,,POINT (-84.3716414 33.7529538)
69154684,33.7476467,-84.3973782,3,,,,POINT (-84.3973782 33.7476467)
69155077,33.7432486,-84.3834717,3,,,,POINT (-84.3834717 33.7432486)
69155609,33.756661,-84.4228418,3,,,,POINT (-84.4228418 33.756661)
69155632,33.758773,-84.42128,4,,,,POINT (-84.42128 33.758773)
69156013,33.741606,-84.372021,3,,,,POINT (-84.372021 33.741606)
69156539,33.742594,-84.394149,3,,,,POINT (-84.394149 33.742594)
69156552,33.7419326,-84.393764,3,,,,POINT (-84.393764 33.7419326)
69157209,33.7444151,-84.3492413,3,,,,POINT (-84.3492413 33.7444151)
69157266,33.7430028,-84.3815413,1,,,,POINT (-84.3815413 33.7430028)
69157525,33.7569,-84.406406,3,,,,POINT (-84.406406 33.7569)
69157530,33.7545038,-84.3896577,4,traffic_signals,,,POINT (-84.3896577 33.7545038)
69157532,33.7545015,-84.3900451,4,traffic_signals,,,POINT (-84.3900451 33.7545015)
69159012,33.72418,-84.395849,3,,,,POINT (-84.395849 33.72418)
69159014,33.724182,-84.396723,3,,,,POINT (-84.396723 33.724182)
69159017,33.724184,-84.3976,3,,,,POINT (-84.3976 33.724184)
69159019,33.72419,-84.398433,4,,,,POINT (-84.398433 33.72419)
69159023,33.724197,-84.399242,4,,,,POINT (-84.399242 33.724197)
69159027,33.7242,-84.400032,4,,,,POINT (-84.400032 33.7242)
69159037,33.724193,-84.400821,4,,,,POINT (-84.400821 33.724193)
69159039,33.724205,-84.401634,4,,,,POINT (-84.401634 33.724205)
69159052,33.724211,-84.402416,4,,,,POINT (-84.402416 33.724211)
69159055,33.724215,-84.403187,4,,,,POINT (-84.403187 33.724215)
69159060,33.724219,-84.403978,4,,,,POINT (-84.403978 33.724219)
69159064,33.7242248,-84.4047596,4,,,,POINT (-84.4047596 33.7242248)
69159067,33.724219,-84.405275,1,,,,POINT (-84.405275 33.724219)
69159073,33.778274,-84.399181,4,stop,,,POINT (-84.399181 33.778274)
69159080,33.7805085,-84.399141,3,,,,POINT (-84.399141 33.7805085)
69159083,33.781508,-84.3991442,4,traffic_signals,,,POINT (-84.3991442 33.781508)
69159085,33.782454,-84.399062,3,,,,POINT (-84.399062 33.782454)
69159089,33.782831,-84.399028,3,,,,POINT (-84.399028 33.782831)
69159091,33.783372,-84.39898,3,,,,POINT (-84.39898 33.783372)
69159093,33.783652,-84.398954,3,,,,POINT (-84.398954 33.783652)
69159096,33.784187,-84.398906,3,,,,POINT (-84.398906 33.784187)
69159103,33.786193,-84.398735,4,traffic_signals,,,POINT (-84.398735 33.786193)
69159106,33.787429,-84.398727,3,,,,POINT (-84.398727 33.787429)
69159108,33.7886626,-84.3987269,3,,,,POINT (-84.3987269 33.7886626)
69159110,33.7896626,-84.3987564,4,traffic_signals,,,POINT (-84.3987564 33.7896626)
69159156,33.7712277,-84.3989855,4,,,,POINT (-84.3989855 33.7712277)
69160840,33.786053,-84.369693,4,,,,POINT (-84.369693 33.786053)
69160898,33.787124,-84.367242,4,,,,POINT (-84.367242 33.787124)
69160909,33.786972,-84.365997,3,,,,POINT (-84.365997 33.786972)
69160951,33.785478,-84.365906,3,,,,POINT (-84.365906 33.785478)
69161071,33.771392,-84.42117,3,,,,POINT (-84.42117 33.771392)
69161073,33.773209,-84.421166,3,,,,POINT (-84.421166 33.773209)
69161590,33.780588,-84.425012,3,,,,POINT (-84.425012 33.780588)
69161593,33.78061,-84.427178,4,,,,POINT (-84.427178 33.78061)
69163637,33.7378598,-84.378946,3,,,,POINT (-84.378946 33.7378598)
69163640,33.737858,-84.378437,4,,,,POINT (-84.378437 33.737858)
69163651,33.737832,-84.377437,3,,,,POINT (-84.377437 33.737832)
69163678,33.737819,-84.376445,4,,,,POINT (-84.376445 33.737819)
69163689,33.73778,-84.374839,3,,,,POINT (-84.374839 33.73778)
69163696,33.737745,-84.37364,3,,,,POINT (-84.37364 33.737745)
69165051,33.778044,-84.350277,3,,,,POINT (-84.350277 33.778044)
69165122,33.778899,-84.350344,3,,,,POINT (-84.350344 33.778899)
69166703,33.748396,-84.417538,3,,,,POINT (-84.417538 33.748396)
69166706,33.748383,-84.419662,3,,,,POINT (-84.419662 33.748383)
69166880,33.772227,-84.418639,3,,,,POINT (-84.418639 33.772227)
69166884,33.772245,-84.419684,1,,,,POINT (-84.419684 33.772245)
