osmid,y,x,street_count,highway,junction,ref,geometry
107818,51.5097303,-0.1347729,3,,,,POINT (-0.1347729 51.5097303)
107828,51.5162575,-0.1244352,4,,,,POINT (-0.1244352 51.5162575)
107829,51.5172868,-0.1224044,3,,,,POINT (-0.1224044 51.5172868)
107830,51.5176167,-0.1204578,4,crossing,,,POINT (-0.1204578 51.5176167)
107831,51.5169129,-0.1268914,4,,,,POINT (-0.1268914 51.5169129)
107835,51.5195882,-0.122917,3,,,,POINT (-0.122917 51.5195882)
107836,51.5194009,-0.1233486,3,,,,POINT (-0.1233486 51.5194009)
107837,51.5191949,-0.1238214,3,,,,POINT (-0.1238214 51.5191949)
107838,51.5189418,-0.1244106,3,,,,POINT (-0.1244106 51.5189418)
107839,51.5205708,-0.1263434,3,,,,POINT (-0.1263434 51.5205708)
107843,51.520066,-0.1287705,3,,,,POINT (-0.1287705 51.520066)
107844,51.5207281,-0.1295001,3,,,,POINT (-0.1295001 51.5207281)
107848,51.5189924,-0.1312083,3,,,,POINT (-0.1312083 51.5189924)
107851,51.5189481,-0.128798,3,,,,POINT (-0.128798 51.5189481)
107852,51.5182278,-0.1261146,3,,,,POINT (-0.1261146 51.5182278)
107853,51.5178064,-0.1276295,4,,,,POINT (-0.1276295 51.5178064)
107855,51.5196706,-0.1198693,3,,,,POINT (-0.1198693 51.5196706)
107856,51.5203968,-0.1176259,4,,,,POINT (-0.1176259 51.5203968)
107860,51.5209401,-0.122119,3,,,,POINT (-0.122119 51.5209401)
107863,51.5198962,-0.1221838,3,,,,POINT (-0.1221838 51.5198962)
107864,51.5214846,-0.1241233,3,,,,POINT (-0.1241233 51.5214846)
107865,51.5221535,-0.1249623,3,,,,POINT (-0.1249623 51.5221535)
107866,51.5265695,-0.1180137,3,,,,POINT (-0.1180137 51.5265695)
107867,51.5271986,-0.1184267,3,,,,POINT (-0.1184267 51.5271986)
107869,51.5276747,-0.1204595,3,,,,POINT (-0.1204595 51.5276747)
107873,51.5265254,-0.1220722,3,,,,POINT (-0.1220722 51.5265254)
107876,51.5267575,-0.1209209,3,,,,POINT (-0.1209209 51.5267575)
107877,51.526905,-0.1242096,3,,,,POINT (-0.1242096 51.526905)
107878,51.5262563,-0.125939,4,,,,POINT (-0.125939 51.5262563)
107879,51.5256846,-0.1255177,4,,,,POINT (-0.1255177 51.5256846)
107881,51.5237902,-0.1269,3,,,,POINT (-0.1269 51.5237902)
107882,51.5277548,-0.1225647,3,,,,POINT (-0.1225647 51.5277548)
107884,51.5283681,-0.1192525,3,,,,POINT (-0.1192525 51.5283681)
107887,51.5295066,-0.1223599,3,,,,POINT (-0.1223599 51.5295066)
107889,51.5302695,-0.1170174,3,,,,POINT (-0.1170174 51.5302695)
107890,51.5296721,-0.115819,3,,,,POINT (-0.115819 51.5296721)
107891,51.5287599,-0.1157168,3,,,,POINT (-0.1157168 51.5287599)
107894,51.5250479,-0.1106266,4,,,,POINT (-0.1106266 51.5250479)
107895,51.5294052,-0.1201002,3,,,,POINT (-0.1201002 51.5294052)
107896,51.5304162,-0.1210985,3,,,,POINT (-0.1210985 51.5304162)
107899,51.5241798,-0.1094994,3,,,,POINT (-0.1094994 51.5241798)
107900,51.5231093,-0.1079884,3,,,,POINT (-0.1079884 51.5231093)
107903,51.5298304,-0.0978537,3,,,,POINT (-0.0978537 51.5298304)
107912,51.5336619,-0.1067074,3,,,,POINT (-0.1067074 51.5336619)
107917,51.5354837,-0.1094858,4,,,,POINT (-0.1094858 51.5354837)
107919,51.5358972,-0.1110632,4,,,,POINT (-0.1110632 51.5358972)
107925,51.5369384,-0.1165459,4,,,,POINT (-0.1165459 51.5369384)
107930,51.5387067,-0.1151599,4,,,,POINT (-0.1151599 51.5387067)
107931,51.5387199,-0.1166466,4,,,,POINT (-0.1166466 51.5387199)
107936,51.5408894,-0.1159446,4,,,,POINT (-0.1159446 51.5408894)
107937,51.5408619,-0.1145753,4,,,,POINT (-0.1145753 51.5408619)
107939,51.5414375,-0.1152134,3,,,,POINT (-0.1152134 51.5414375)
107941,51.5425951,-0.1155786,3,,,,POINT (-0.1155786 51.5425951)
107944,51.545313,-0.1146119,3,,,,POINT (-0.1146119 51.545313)
107945,51.5460737,-0.1121917,4,,,,POINT (-0.1121917 51.5460737)
107947,51.5450083,-0.111241,3,,,,POINT (-0.111241 51.5450083)
107949,51.5438335,-0.1103948,3,,,,POINT (-0.1103948 51.5438335)
