osmid,y,x,highway,street_count,ref,junction,geometry
4636082348,-23.5308706,-46.6640693,,1,,,POINT (-46.6640693 -23.5308706)
4640177431,-23.5467208,-46.6701754,,3,,,POINT (-46.6701754 -23.5467208)
4640177435,-23.5465272,-46.6703727,,3,,,POINT (-46.6703727 -23.5465272)
4640177436,-23.5462481,-46.6698031,,3,,,POINT (-46.6698031 -23.5462481)
4640177458,-23.5448339,-46.6686203,,3,,,POINT (-46.6686203 -23.5448339)
4640177459,-23.5444238,-46.66835,,3,,,POINT (-46.66835 -23.5444238)
4640177463,-23.5445785,-46.6681967,,3,,,POINT (-46.6681967 -23.5445785)
4640178733,-23.5464644,-46.6621171,,1,,,POINT (-46.6621171 -23.5464644)
4640178757,-23.5460176,-46.6641189,,3,,,POINT (-46.6641189 -23.5460176)
4640179392,-23.5470869,-46.6662381,,3,,,POINT (-46.6662381 -23.5470869)
4640179493,-23.5529304,-46.6668569,,3,,,POINT (-46.6668569 -23.5529304)
4640179692,-23.5434419,-46.6651958,,3,,,POINT (-46.6651958 -23.5434419)
4640179701,-23.5430193,-46.6653302,,3,,,POINT (-46.6653302 -23.5430193)
4640497009,-23.5323916,-46.6724803,traffic_signals,3,,,POINT (-46.6724803 -23.5323916)
4640497013,-23.532537,-46.6725441,,3,,,POINT (-46.6725441 -23.532537)
4640499288,-23.5325405,-46.6717441,,3,,,POINT (-46.6717441 -23.5325405)
4640502508,-23.5489823,-46.6734849,,3,,,POINT (-46.6734849 -23.5489823)
4640503811,-23.534073,-46.6693318,,3,,,POINT (-46.6693318 -23.534073)
4640503827,-23.5339596,-46.6686772,,3,,,POINT (-46.6686772 -23.5339596)
4640552554,-23.5436585,-46.6616444,,3,,,POINT (-46.6616444 -23.5436585)
4640724759,-23.5145007,-46.6374722,,3,,,POINT (-46.6374722 -23.5145007)
4640724765,-23.5143448,-46.6374464,,3,,,POINT (-46.6374464 -23.5143448)
