osmid,y,x,street_count,highway,junction,railway,geometry
176949384,48.8917095,2.3212138,4,,,,POINT (2.3212138 48.8917095)
176950353,48.8919282,2.3261777,3,,,,POINT (2.3261777 48.8919282)
177297981,48.8315414,2.3853113,3,,,,POINT (2.3853113 48.8315414)
177690284,48.8487508,2.3088169,3,,,,POINT (2.3088169 48.8487508)
178760713,48.8757642,2.3229408,3,,,,POINT (2.3229408 48.8757642)
178760810,48.8756655,2.3196156,3,,,,POINT (2.3196156 48.8756655)
178760884,48.8757438,2.3211645,3,,,,POINT (2.3211645 48.8757438)
178760888,48.8761714,2.3211098,3,,,,POINT (2.3211098 48.8761714)
178761023,48.8761869,2.3194496,3,,,,POINT (2.3194496 48.8761869)
178761070,48.8767131,2.3193011,3,,,,POINT (2.3193011 48.8767131)
178761212,48.8751301,2.322939,4,traffic_signals,,,POINT (2.322939 48.8751301)
178761260,48.8743505,2.3227384,4,traffic_signals,,,POINT (2.3227384 48.8743505)
178761284,48.8734268,2.3224208,4,traffic_signals,,,POINT (2.3224208 48.8734268)
178761643,48.8753152,2.3193118,3,,,,POINT (2.3193118 48.8753152)
178763059,48.8743845,2.3186082,3,,,,POINT (2.3186082 48.8743845)
178763120,48.8738441,2.3195192,3,,,,POINT (2.3195192 48.8738441)
178763173,48.8738005,2.3206392,4,traffic_signals,,,POINT (2.3206392 48.8738005)
178763174,48.8737376,2.3225214,3,,,,POINT (2.3225214 48.8737376)
178763476,48.8733612,2.3236609,4,,,,POINT (2.3236609 48.8733612)
178763478,48.8741867,2.3239231,4,traffic_signals,,,POINT (2.3239231 48.8741867)
178763513,48.8751864,2.3238335,4,traffic_signals,,,POINT (2.3238335 48.8751864)
178763514,48.8715077,2.3231084,4,traffic_signals,,,POINT (2.3231084 48.8715077)
178763582,48.871718,2.3220943,4,traffic_signals,,,POINT (2.3220943 48.871718)
178764043,48.8733219,2.3243018,4,,,,POINT (2.3243018 48.8733219)
178764044,48.8750284,2.324578,3,traffic_signals,,,POINT (2.324578 48.8750284)
178764046,48.8740924,2.324604,4,traffic_signals,,,POINT (2.324604 48.8740924)
178764097,48.8713929,2.3234974,4,traffic_signals,,,POINT (2.3234974 48.8713929)
178764205,48.8726054,2.3239929,3,,,,POINT (2.3239929 48.8726054)
178764245,48.8720709,2.3259555,3,,,,POINT (2.3259555 48.8720709)
178764278,48.8723623,2.3248871,3,,,,POINT (2.3248871 48.8723623)
178764319,48.873236,2.3254339,3,,,,POINT (2.3254339 48.873236)
178764427,48.8747735,2.3249271,3,,,,POINT (2.3249271 48.8747735)
178764471,48.8748291,2.3267713,3,,,,POINT (2.3267713 48.8748291)
178765238,48.8935006,2.3234208,3,,,,POINT (2.3234208 48.8935006)
178765861,48.8946188,2.3193141,3,,,,POINT (2.3193141 48.8946188)
178765863,48.8944882,2.3198275,4,,,,POINT (2.3198275 48.8944882)
178765864,48.8942304,2.3206152,4,traffic_signals,,,POINT (2.3206152 48.8942304)
178765865,48.8935695,2.3226907,4,,,,POINT (2.3226907 48.8935695)
178765867,48.8934636,2.3253729,3,,,,POINT (2.3253729 48.8934636)
178766056,48.8956143,2.3266035,4,,,,POINT (2.3266035 48.8956143)
178766168,48.8958422,2.3245038,4,traffic_signals,,,POINT (2.3245038 48.8958422)
178766322,48.8958559,2.3236966,3,,,,POINT (2.3236966 48.8958559)
178766323,48.8937373,2.3221404,4,,,,POINT (2.3221404 48.8937373)
178766485,48.8957813,2.3218623,4,,,,POINT (2.3218623 48.8957813)
178766909,48.895871,2.3230072,4,traffic_signals,,,POINT (2.3230072 48.895871)
178767081,48.8939634,2.3214401,3,,,,POINT (2.3214401 48.8939634)
178767178,48.8918856,2.3179152,3,,,,POINT (2.3179152 48.8918856)
178801482,48.8552187,2.3538018,3,,,,POINT (2.3538018 48.8552187)
178802497,48.8533087,2.3592802,2,,,,POINT (2.3592802 48.8533087)
178876750,48.8902842,2.3288612,3,,,,POINT (2.3288612 48.8902842)
178877053,48.8885533,2.3318676,3,,,,POINT (2.3318676 48.8885533)
178878155,48.8891567,2.332244,3,,,,POINT (2.332244 48.8891567)
178878314,48.8892951,2.3335621,3,,,,POINT (2.3335621 48.8892951)
