u,v,key,osmid,bridge,highway,lanes,oneway,reversed,length,maxspeed,geometry,Inverse SP,Cost of return,Edge Betweenness,name,ref,tunnel,access,width,junction,Groups
122807807,122807812,0,13318142,,residential,2,False,False,265.5044547519918,,"LINESTRING (-118.2097166 34.0476527, -118.2094957 34.0480018, -118.2093992 34.0481544, -118.209134 34.0485731, -118.2088147 34.0490776, -118.2083789 34.0497676)",265.5044547519918,1.5591052539496648,0.0008153628358746,Cornwell Street,,,,,,C
122807812,123333983,0,13471161,,residential,,False,True,94.49832087340606,,"LINESTRING (-118.2083789 34.0497676, -118.2092822 34.0501702)",94.49832087340606,1.6062436803218552,7.35259486109997e-05,Bird Street,,,,,,C
122807812,122807814,0,13318142,,residential,2,False,False,124.34075648461962,,"LINESTRING (-118.2083789 34.0497676, -118.2082405 34.0499887, -118.208034 34.0503185, -118.2077574 34.0507602)",124.34075648461962,1.6125349310982733,0.000677413592035,Cornwell Street,,,,,,C
122807812,122807807,0,13318142,,residential,2,False,True,265.5044547519918,,"LINESTRING (-118.2083789 34.0497676, -118.2088147 34.0490776, -118.209134 34.0485731, -118.2093992 34.0481544, -118.2094957 34.0480018, -118.2097166 34.0476527)",265.5044547519918,1.559105253949666,0.0008188277168395,Cornwell Street,,,,,,C
122807814,122807816,0,13318142,,residential,2,False,False,94.62789844182102,,"LINESTRING (-118.2077574 34.0507602, -118.2072743 34.0515112)",94.62789844182102,1.8451314747167185,0.0002992130256973,Cornwell Street,,,,,,C
122807814,123310172,0,13415622,,residential,2,False,False,96.40777583019258,,"LINESTRING (-118.2077574 34.0507602, -118.2068288 34.0503605)",96.40777583019258,1.8233295349362264,0.0003895935647646,Sheridan Street,,,,,,C
122807814,123333985,0,13415622,,residential,2,False,True,93.159550568392,,"LINESTRING (-118.2077574 34.0507602, -118.2086483 34.0511565)",93.159550568392,1.6309748417948415,0.0008308079832266,Sheridan Street,,,,,,C
122807814,122807812,0,13318142,,residential,2,False,True,124.34075648461962,,"LINESTRING (-118.2077574 34.0507602, -118.208034 34.0503185, -118.2082405 34.0499887, -118.2083789 34.0497676)",124.34075648461962,1.6125349310982735,0.0006625557126432,Cornwell Street,,,,,,C
122807816,122807818,0,13318142,,residential,2,False,False,97.1258867837803,,"LINESTRING (-118.2072743 34.0515112, -118.2067834 34.0522842)",97.1258867837803,1.5802805932068469,0.0002409560440502,Cornwell Street,,,,,,C
122807816,122807814,0,13318142,,residential,2,False,True,94.62789844182102,,"LINESTRING (-118.2072743 34.0515112, -118.2077574 34.0507602)",94.62789844182102,1.8451314747167176,0.0003859525034117,Cornwell Street,,,,,,C
122807816,123165996,0,13380465,,residential,2,False,False,71.23970018219616,,"LINESTRING (-118.2072743 34.0515112, -118.2065851 34.0512207)",71.23970018219616,1.568744667761227,0.0015072232197294,City View Avenue,,,,,,C
122807816,122945891,0,13380465,,residential,2,False,True,188.0397576750001,,"LINESTRING (-118.2072743 34.0515112, -118.2090733 34.05231)",188.0397576750001,1.685036600640201,0.0007916959370805,City View Avenue,,,,,,C
122807818,122807816,0,13318142,,residential,2,False,True,97.1258867837803,,"LINESTRING (-118.2067834 34.0522842, -118.2072743 34.0515112)",97.1258867837803,1.5802805932068464,0.000290404006295,Cornwell Street,,,,,,C
